Gene	LogFc_0	LogFc_1	LogFc_2	LOGFC	STDEV
lmo0001	1.695717066979367	1.1875618068637666	0.8268424513352857	0.7362700361434911	0.35641475832186287
lmo0002	1.2365953708084705	0.9575659702343762	0.4104508012095964	0.5062741995141007	0.3431402797754652
lmo0003	0.622420728480698	2.140317485883373	0.6696049636026622	0.2183131928823867	0.7046852915680313
lmo0004	-0.791763250422763	-0.48461915733485394	1.8418633156093742	-0.9359109280551294	1.1758140007929123
lmo0005	0.15821661059798853	-0.16895783060618452	-0.8227823731021511	-0.62024960132646	0.40782467003031664
lmo0006	0.22680235007620286	0.39672849910731944	-0.19195821225322707	-0.22448942064407262	0.24738349644484753
lmo0007	0.262403825226623	0.8256893217430283	5.188556784849752E-4	-0.1888879454936525	0.34428356948018213
lmo0008	-0.45588373699629603	-0.6804861762942371	-1.0745425130457837	-1.1317779470145126	0.25570498049633583
lmo0009	-0.42795537110339144	-0.2506509807572579	-0.20717648222458696	-0.7019427514775334	0.09549298789453994
lmo0010	0.16779565033770094	-0.3442077055289774	-0.21222084034419186	-0.6635126110644674	0.21704595063673301
lmo0011	-1.387173368015457	-0.6166203354633533	-0.5714865360670158	-1.0679121061836288	0.3743340818688385
lmo0012	0.19671743801385855	-0.8061350560449734	-0.1528704153419893	-0.6041621860622648	0.41562262301365654
lmo0013	0.6746415056810795	0.6185330920050847	-0.4984181646814827	0.16724132128480917	0.5402465747878527
lmo0014	0.35468603238664276	0.8230763945308839	-0.07319968392169063	-0.09660573833363273	0.3660277048373729
lmo0015	0.7031845223189377	1.0951005878497542	0.45157229280306854	0.2518927515986622	0.2647924938070053
lmo0016	0.4959997442462649	1.222092879383447	0.3169338279234859	0.04470797352598943	0.39137773054823116
lmo0017	-2.16476473416422	2.3904093976881047	1.7605438911018583	1.3092521203815828	2.015340879120067
lmo0018	-0.2851569807616068	0.8357347563945812	1.2510420659859642	0.3844429856743057	0.6488268009820319
lmo0019	-3.615055356899961	-4.606821570517824	-2.302186000426768	-4.0663471276202365	0.9439027304270736
lmo0020	-1.855687590320585	-1.542256590655625	-2.8062434807275505	-2.3069793610408604	0.5374278608553533
lmo0021	-2.2855467966278393	-2.5047546424536913	-1.3773320747447073	-2.736838567348115	0.48807873987894596
lmo0022	-1.2916354806482548	-0.821998058087047	0.7083652040843909	-1.2732898288073224	0.8539173627598733
lmo0023	-0.8639360445892788	-2.85376839045409	1.5420147420758612	-1.3152278153095542	1.7972491727556958
lmo0024	-3.067293721919549	-0.8851590138050192	-0.4861858679841049	-1.3364507845252946	1.1344606750488948
lmo0025	-1.8644894701008718	-3.2929834119962003	-1.6540422609507317	-2.3157812408211473	0.7280881407617396
lmo0026	1.9363056064219775	2.0720593034227734	2.758283373330249	1.620767532702498	0.35978079586530654
lmo0027	0.672559368492645	1.688487614127097	-0.08487650359139653	0.22126759777236948	0.7265320666326128
lmo0028	0.7802470511812096	0.02100456749849222	0.20018953672117412	-0.25110223399910137	0.32404099917304513
lmo0029	1.3164983847610996	0.9734328181832401	1.0161093803745525	0.564817609654277	0.15266114469205516
lmo0030	0.26213801368725687	1.1674701557358027	0.06936014476031538	-0.18915375703301862	0.4787292427039187
lmo0031	-0.07255077702088109	1.456354072992971	-0.957988326247655	-0.5238425477411566	0.997251718738809
lmo0032	0.1946048040623216	-0.029973845854077474	1.8166897608239436	-0.2566869666579539	0.8227164796628641
lmo0033	1.478385201863504	2.105670937569858	1.4853051855212716	1.034013414800996	0.2940878452868751
lmo0034	1.6856541655682697	0.9750181557916457	1.0145636288339661	0.5632718581136906	0.32607597807936317
lmo0035	2.069538483527052	1.8082862182880284	1.3885954877951514	1.356994447567753	0.28049092256860836
lmo0036	1.1646457019856804	-0.16263425837562284	0.8754090879833578	0.4241173172630823	0.5698795097773235
lmo0037	1.5447722794866285	0.3327216260835284	0.4902297552522601	0.038937984531984604	0.538097010314818
lmo0038	-0.958095738051405	-5.143754757997955	0.12507577221043853	-1.4093875087716805	2.2718953689708044
lmo0039	-1.287029249740721	-2.517203250478932	2.0120288313488546	-1.7383210204609965	1.9122719339847722
lmo0040	1.4444836967972572	1.9223348153313546	1.530464382777108	1.0791726120568326	0.20797884661562926
lmo0041	2.892214220808196	1.8231590093380357	0.09126723522523861	1.3718672386177602	1.1541053378871897
lmo0042	3.906605789581551	2.363654954101043	3.9040733792698497	3.452781608549574	0.7267578397246777
lmo0043	-12.895162533370435	-3.0569705636219906	-3.1419321183221536	-3.593223889042429	4.617872805481168
lmo0044	0.693670368085054	0.7731218781860614	0.22651847574180284	0.24237859736477851	0.24113590279269934
lmo0045	0.7309019523528173	0.9826865884766649	0.3729055173411622	0.2796101816325418	0.25019767855398595
lmo0046	0.48311732720688116	0.7826180946892594	0.26515243554515155	0.03182555648660568	0.2121268258254662
lmo0047	-4.427793044151183	-1.4979204853882235	-3.2663624162570732	-3.7176541869773487	1.2046420020006805
lmo0048	3.715940187650369	3.0806590439050465	2.510868450650819	2.629367273184771	0.49221058536119494
lmo0049	3.8010191281597008	3.1548294988388674	2.864788265483182	2.703537728118592	0.3913244153322706
lmo0050	4.47425383953632	3.9279755415818833	3.7845468543622127	3.476683770861608	0.29715082076494076
lmo0051	3.898022098126666	3.46565836506245	3.2688864032682305	3.0143665943421745	0.2627777525596303
lmo0052	-0.004909069701001023	-0.1295081644858369	-0.2852756391521263	-0.5807999352061124	0.11469469320810226
lmo0053	0.2843214612207374	0.4492514671565102	0.27768465993277314	-0.16697030949953806	0.07935932580516787
lmo0054	0.5431926078215836	0.40141118654535024	0.30434409088975745	-0.04988058417492525	0.09807741076350156
lmo0055	1.8944630039345958	1.1400713212922886	0.9026029026277973	0.6887795505720131	0.4228585948658432
lmo0056	-0.028161971728381197	0.4503229234967083	0.31159240610098227	-0.13969936461929322	0.20100497193122932
lmo0057	1.9501881840789155	2.215607116302839	2.059441720432019	1.6081499497117435	0.1089195297537634
lmo0058	4.063966872936131	1.1592209089794716	1.2561856827875362	0.8048939120672607	1.3470373456109108
lmo0059	2.3594627254523637	2.008332209596391	3.6269738367860827	1.9081709547320882	0.6952120199215825
lmo0060	2.2863179280159835	0.46851324115972126	4.327237890023419	1.835026157295708	1.5761952814231448
lmo0061	2.6341977606255833	2.9233995891198656	0.7244502108911224	2.182905989905308	0.9755996315277536
lmo0062	1.405361320327589	3.9999137616278198	1.943953020229622	1.4926612495093465	1.1179722695840875
lmo0063	-1.0852497329303308	0.7616888502893726	1.2508359431107943	0.3103970795690971	1.0059679304809854
lmo0064	1.968666449436756	1.1384397931360795	1.7713289482941441	1.3200371775738686	0.35414483429274174
lmo0065	1.5761364927748778	2.702567174577518	1.860669026857174	1.4093772561368985	0.4782604282411426
