Gene	RAWVALUE	VALUE
LMOf2365_0174	0.0	0.0
LMOf2365_0175	2.0	1.0
LMOf2365_0176	0.0	0.0
LMOf2365_0177	4.0	2.0
LMOf2365_0178	1.0	1.0
LMOf2365_0179	9.0	3.169925001
LMOf2365_0180	2.0	1.0
LMOf2365_0181	0.0	0.0
LMOf2365_0182	7.0	2.807354922
LMOf2365_0183	0.0	0.0
LMOf2365_0184	0.0	0.0
LMOf2365_0185	4.0	2.0
LMOf2365_0186	0.0	0.0
LMOf2365_0187	0.0	0.0
LMOf2365_0188	0.0	0.0
LMOf2365_0189	0.0	0.0
LMOf2365_0190	0.0	0.0
LMOf2365_0191	0.0	0.0
LMOf2365_0192	1.0	1.0
LMOf2365_0193	1.0	1.0
LMOf2365_0194	0.0	0.0
LMOf2365_0195	1.0	1.0
LMOf2365_0196	0.0	0.0
LMOf2365_0197	1.0	1.0
LMOf2365_0198	1.0	1.0
LMOf2365_0199	0.0	0.0
LMOf2365_0200	0.0	0.0
LMOf2365_0201	1.0	1.0
LMOf2365_0202	1.0	1.0
LMOf2365_0203	0.0	0.0
LMOf2365_0204	2.0	1.0
LMOf2365_0205	0.0	0.0
LMOf2365_0206	1.0	1.0
LMOf2365_0207	13.0	3.700439718
LMOf2365_0208	10.0	3.321928095
LMOf2365_0209	0.0	0.0
LMOf2365_0210	1.0	1.0
LMOf2365_0211	4.0	2.0
LMOf2365_0212	3.0	1.584962501
LMOf2365_0213	1.0	1.0
LMOf2365_0214	5.0	2.321928095
LMOf2365_0215	4.0	2.0
LMOf2365_0216	1.0	1.0
LMOf2365_0217	0.0	0.0
LMOf2365_0218	2.0	1.0
LMOf2365_0219	2.0	1.0
LMOf2365_0220	0.0	0.0
LMOf2365_0221	2.0	1.0
LMOf2365_0222	5.0	2.321928095
LMOf2365_0223	2.0	1.0
LMOf2365_0224	1.0	1.0
LMOf2365_0225	4.0	2.0
LMOf2365_0226	2.0	1.0
LMOf2365_0227	1.0	1.0
LMOf2365_0228	1.0	1.0
LMOf2365_0229	13.0	3.700439718
LMOf2365_0230	4.0	2.0
LMOf2365_0231	9.0	3.169925001
LMOf2365_0232	0.0	0.0
LMOf2365_0233	6.0	2.584962501
LMOf2365_0234	116.0	6.857980995
LMOf2365_0235	0.0	0.0
LMOf2365_0236	4.0	2.0
LMOf2365_0237	0.0	0.0
LMOf2365_0238	0.0	0.0
LMOf2365_0239	2.0	1.0
LMOf2365_0240	3.0	1.584962501
LMOf2365_0241	2.0	1.0
LMOf2365_0242	3.0	1.584962501
LMOf2365_0243	4.0	2.0
LMOf2365_0244	5.0	2.321928095
LMOf2365_0245	2.0	1.0
LMOf2365_0246	0.0	0.0
LMOf2365_0247	0.0	0.0
LMOf2365_0248	1.0	1.0
LMOf2365_0249	0.0	0.0
LMOf2365_0250	2.0	1.0
LMOf2365_0251	1.0	1.0
LMOf2365_0252	0.0	0.0
LMOf2365_0253	1.0	1.0
LMOf2365_0254	0.0	0.0
LMOf2365_0255	0.0	0.0
LMOf2365_0256	0.0	0.0
LMOf2365_0257	0.0	0.0
LMOf2365_0258	10.0	3.321928095
LMOf2365_0259	0.0	0.0
LMOf2365_0260	47.0	5.554588852
LMOf2365_0261	1.0	1.0
LMOf2365_0262	9.0	3.169925001
LMOf2365_0263	16.0	4.0
LMOf2365_0264	0.0	0.0
LMOf2365_0265	4.0	2.0
LMOf2365_0266	9.0	3.169925001
LMOf2365_0267	4.0	2.0
LMOf2365_0268	1.0	1.0
LMOf2365_0269	0.0	0.0
LMOf2365_0270	5.0	2.321928095
LMOf2365_0271	1.0	1.0
LMOf2365_0272	0.0	0.0
LMOf2365_0273	0.0	0.0
LMOf2365_0274	3.0	1.584962501
LMOf2365_0275	5.0	2.321928095
LMOf2365_0276	0.0	0.0
LMOf2365_0277	0.0	0.0
LMOf2365_0278	0.0	0.0
LMOf2365_0279	3.0	1.584962501
LMOf2365_0280	0.0	0.0
LMOf2365_0281	0.0	0.0
LMOf2365_0282	0.0	0.0
LMOf2365_0283	0.0	0.0
LMOf2365_0284	2.0	1.0
LMOf2365_0285	1.0	1.0
LMOf2365_0286	1.0	1.0
LMOf2365_0287	0.0	0.0
LMOf2365_0288	0.0	0.0
LMOf2365_0289	0.0	0.0
LMOf2365_0290	0.0	0.0
LMOf2365_0291	1.0	1.0
LMOf2365_0292	0.0	0.0
LMOf2365_0293	4.0	2.0
LMOf2365_0294	2.0	1.0
LMOf2365_0295	1.0	1.0
LMOf2365_0296	0.0	0.0
LMOf2365_0297	4.0	2.0
LMOf2365_0298	0.0	0.0
LMOf2365_0299	4.0	2.0
LMOf2365_0300	0.0	0.0
LMOf2365_0301	1.0	1.0
LMOf2365_0302	0.0	0.0
LMOf2365_0303	2.0	1.0
LMOf2365_0304	6.0	2.584962501
LMOf2365_0305	0.0	0.0
LMOf2365_0306	0.0	0.0
LMOf2365_0307	3.0	1.584962501
