Genome elements	LOGFC_prfA_Star vs EGDe_280212.ge	STAT_prfA_Star vs EGDe_280212_LPE.ge	LOGFC_prfA_Star vs EGDe_280212.gr	STAT_prfA_Star vs EGDe_280212_TSTUDENTTILING.gr	CORR_prfA_Star vs EGDe_280212_ARRAYSCORR.gr	STAT_prfA_Star vs EGDe_280212_FDRBY.gr	STAT_prfA_Star vs EGDe_280212_FDRBONF.gr	Strand	Begin	End	Length (bp)	Info	Description	Note	Supp Note	Operon	COG	StartCodon	SD energy
lmo0244	1.2082527915206693	0.1164107667874843	0.3646468198349999	0.05714659306034454	0.30179679483799643	0.8864439821228484	1.0												
lmo0245	1.590999224713821	0.055778093887543845	0.3395819497399999	0.22551082189275606	0.21343941874081163	1.0	1.0												
lmo0246	0.9332329364775607	0.25574482347533567	0.2212483398099998	0.4472958598862651	0.23707729459816346	1.0	1.0												
lmo0247	0.5353156280160007	0.5854055252565034	0.18912168202999968	0.711985011866465	0.35329004447511997	1.0	1.0												
lmo0248	0.6833273733054099	0.13762176757122901	-0.44538962639499946	0.01176469937146154	-0.6517953821175764	0.5965779472017916	1.0												
lmo0249	0.5682448238393611	0.2527081560010207	-0.4384446707349996	2.4031131299279616E-5	-0.7715770603463427	0.5003819955210099	0.5344486267175174												
lmo0250	0.040960983700820464	0.9350062947985005	-0.8103863090699992	1.3431585856002897E-7	-19.78434685526771	0.5000031552095792	0.5001925417832458												
lmo0251	0.19966941774266012	0.7277272368888215	-0.6926031070000005	0.026442026692019577	-3.4687490694876866	0.6967226191563394	1.0												
lmo0252	1.2335510468671105	0.15396096526301584	0.6631037762050003	0.3128530222433443	0.5375568184949512	1.0	1.0												
lmo0253	0.32673042077801906	0.7311900922743475	-0.1310231398299999	0.6320058601875054	-0.4010129804197729	1.0	1.0												
lmo0254	0.18916463935668926	0.6230990413405095	-0.8020546547600005	0.010715839962888229	-4.239981941062697	0.5890426859100301	1.0												
lmo0255	0.20577640470289893	0.4971491322065682	-0.7895924714700002	0.19355397153525267	-3.837138046074904	1.0	1.0												
lmo0256	0.4929432399093603	0.5535538975494514	0.4613991690549999	0.0035915529760194155	0.936008716013307	0.5334805304582023	1.0												
lmo0257	0.09460266825288066	0.912189551028487	-0.5643988978999999	0.003117521127863605	-5.965993436795202	0.5294883117122496	1.0												
lmo0258	0.2998481914127691	0.6838247574590923	-0.4210654487499994	8.275624084429786E-15	-1.404262092647954	0.5000000000005191	0.5000000000118631												
lmo0259	-0.01274776712339154	0.9867967361914288	-0.42435028016999965	6.1831306692281715E-6	33.28820459791247	0.5001065944699068	0.5088635178143386												
lmo0260	-0.3603326400529916	0.6737302214124612	-0.6071394271299999	2.2296036527755806E-4	1.6849415224796516	0.5027932376232223	0.8196136836253795												
lmo0261	-0.7678383437236089	0.36185218306158407	-1.3179029894400003	4.3107936880196006E-17	1.7163807983967947	0.5000000000000036	0.5000000000000618												
lmo0262	-0.20133464532162026	0.820603743031209	-0.7445380529150003	0.010686502360834594	3.6980125885718502	0.5888774877571082	1.0												
lmo0263	-2.628985294158089	0.0044201000922508005	-3.8855551235100005	1.958886694275509E-49	1.477967614403989	0.5	0.5												
lmo0264	-0.10219290411025028	0.9004606416327194	-0.7609435272200002	0.0016819839504728883	7.446148378355706	0.5171131910852258	1.0												
lmo0265	-3.1467129397873794	0.0012821214779796808	-3.04916183722	2.970234053911079E-32	0.9689990461684849	0.5	0.5												
lmo0266	-0.20958714619883878	0.8191855481807361	-0.6265357587400002	0.03646746852888877	2.9893806471585593	0.7613319626370872	1.0												
lmo0267	-0.3226213034409895	0.7214875776083682	-0.9290729642700004	1.9023052193439634E-7	2.879763221959509	0.5000043602734058	0.500272695453193												
lmo0268	0.40683151595664846	0.6135392595960232	-0.20564704094999975	0.25806479224959467	-0.5054845381543973	1.0	1.0												
lmo0269	-0.3946408093146401	0.6722682461030214	-1.20484333353	6.67290982000142E-17	3.05301252453443	0.5000000000000052	0.5000000000000957												
lmo0270	-0.28488763776434034	0.7389558455670724	-1.0035008067320002	4.628292413845521E-4	3.5224441980248304	0.5053747090369608	1.0												
lmo0271	-0.7051940983292404	0.38584944214832995	-1.2657996863510002	1.714481237061616E-20	1.794966363657832	0.5	0.5												
lmo0272	0.3441347128960306	0.6734059025736465	-0.21304489541000038	0.21810149371092946	-0.6190741225061046	1.0	1.0												
lmo0273	0.6472032056125112	0.3877443006376531	-0.5498757370299998	0.0057265239510505325	-0.8496183768274124	0.5508278330670812	1.0												
lmo0274	-1.381082112160561	0.16886386817846444	-2.031583300874	1.4544730003929593E-11	1.47100833685826	0.5000000005875405	0.5000000208498705												
