Genome elements	LOGFC_prfA_Star vs EGDe_280212.ge	STAT_prfA_Star vs EGDe_280212_LPE.ge	LOGFC_prfA_Star vs EGDe_280212.gr	STAT_prfA_Star vs EGDe_280212_TSTUDENTTILING.gr	CORR_prfA_Star vs EGDe_280212_ARRAYSCORR.gr	STAT_prfA_Star vs EGDe_280212_FDRBY.gr	STAT_prfA_Star vs EGDe_280212_FDRBONF.gr	Strand	Begin	End	Length (bp)	Info	Description	Note	Supp Note	Operon	COG	StartCodon	SD energy
lmo0737	0.1211677136913405	0.8371342885177309	-0.6069548568849998	0.027314750800283928	-5.009212754737132	0.7018885504502328	1.0												
lmo0738	0.008625871616420255	0.9920033659116425	-0.5968026351500004	0.003024620268657048	-69.18751654197168	0.5287428464437557	1.0												
lmo0739	-0.4394986385468105	0.6695625425065403	-0.5789367534799998	1.332040729577805E-4	1.31726631826264	0.5017721662306295	0.6909480385849783												
lmo0740	-0.36131679052608057	0.7064152740944767	-0.7111237579480005	0.04817764717425365	1.968144787604799	0.8335324592617321	1.0												
lmo0741	0.24619957536495019	0.42470605856361643	-1.0310870452399996	0.06679678597053382	-4.188013093489635	0.9424135083507004	1.0												
lmo0742	0.3562939759566399	0.573373630150275	-0.5381408353600001	0.06714732414919179	-1.5103843221460767	0.9444946918104584	1.0												
lmo0743	0.5785206572775907	0.38889300468335164	-0.6794188034950004	0.08456480524382164	-1.1744071623858987	1.0	1.0												
lmo0744	0.3214386237196303	0.6805170996060554	-0.7008743910200002	0.006424670142330904	-2.1804299150786766	0.5563704376819456	1.0												
lmo0745	0.21459359110746945	0.6763301861466535	-0.8189473875099997	0.05852964872000237	-3.8162714146475474	0.8949238975546132	1.0												
lmo0746	0.45613973367328065	0.06202588562296674	-0.8320303148225001	0.16165978163353056	-1.8240689275678377	1.0	1.0												
lmo0747	0.42285195852092006	1.0	-0.5605773806999998	0.3124103980955393	-1.3257060051485277	1.0	1.0												
lmo0748	-0.06276808461522076	0.9511198031680793	-0.1026708121300004	0.7312887217541918	1.6357168258262182	1.0	1.0												
lmo0749	0.3787323313129898	0.6920531766672173	-0.30098538985000034	0.5719933579537824	-0.7947179708860445	1.0	1.0												
lmo0750	-0.1543073672322608	0.86240951787362	-0.24484159510500025	0.14199001096759867	1.5867135801524557	1.0	1.0												
lmo0751	0.08919660560594966	0.926474949457873	-0.27074647742500035	0.3575118128540179	-3.0353899185479856	1.0	1.0												
lmo0752	2.2522473345770093	0.00811216923810365	1.0578656118	0.001677566993603188	0.46969335719013117	0.5170824510397662	1.0												
lmo0753	-0.02522829420415995	0.9805536440359878	-0.5050505517600001	0.15475283180747446	20.019211274170143	1.0	1.0												
lmo0754	0.37758379460003866	0.6651721494646701	-0.79736238536	1.2144513988673974E-4	-2.1117494891554287	0.5016263301874613	0.6740916080276415												
lmo0755	-0.043689861946569764	0.9628310329520854	-0.3282162101599999	0.12968712075088762	7.512411244544325	1.0	1.0												
lmo0756	0.14755260954732918	0.859086669258651	-1.0555505292200003	8.194073463492731E-12	-7.153723220878858	0.5000000003434724	0.5000000117462043												
lmo0757	0.1651090876254795	0.8412812566389793	-0.9929812280250001	8.008521299504744E-10	-6.014091909207329	0.5000000252855417	0.5000011480215283												
lmo0758	-0.5902394674901501	0.5634614728694407	-0.9661787525899994	1.1540520743134007E-4	1.6369267150135516	0.5015573739229126	0.665433364852826												
lmo0759	-1.0203685251991308	0.29575470882628496	-1.95036145677	1.459398187348451E-26	1.9114284776565171	0.5	0.5												
lmo0760	-1.0414037101728804	0.2833938146961674	-1.8404579380800001	3.0280475204072155E-15	1.7672857510508304	0.5000000000002025	0.5000000000043407												
lmo0761	-1.111614441760369	0.28583174748415585	-1.62069821605	2.478107256962796E-7	1.45796793849083	0.5000055450766366	0.5003552366752856												
lmo0762	0.16366796188963129	0.8449097553214566	-0.3537010223800001	0.001339506444706496	-2.1610889406597287	0.5139534538538081	1.0												
lmo0763	0.4105345194470402	0.6163129314523106	-0.22566604235999987	0.03662019125509468	-0.5496883493840066	0.7621113496680727	1.0												
lmo0764	0.3097134609217491	0.7049160338023934	-0.006512006960000427	0.8056091612933081	-0.021025908724211773	1.0	1.0												
lmo0765	-0.06984963518103005	0.9280933060065728	-0.8727705529900001	0.002212003607320957	12.49499085754752	0.5219760635675862	1.0												
lmo0766	0.5151405398879003	0.4861082622070305	-0.7655638760250005	0.05255358903397293	-1.4861262446779957	0.8607661792784361	1.0												
lmo0767	0.2582870960543602	0.4752860913072292	-0.95361423657	0.05646240973490677	-3.692070765971593	0.8828749760338956	1.0												
lmo0768	0.22149554317691056	0.7672949677107879	-0.6883744367850002	0.0032086408000654306	-3.107847800960894	0.5302333819061162	1.0												
lmo0769	-0.33841479906817007	0.6606036293061569	-0.9812786399400006	4.2468160488920654E-4	2.8996327661850643	0.5049885061335908	1.0												
lmo0770	-0.11107100042936935	0.8969432397829529	-0.8623883422744998	6.123041307975078E-7	7.764297962031027	0.5000125746443062	0.5008777379714983												
lmo0771	0.12963083169944944	0.8945012873722438	-0.032066685700000264	0.8137830332985478	-0.24736928151743437	1.0	1.0												
lmo0772	0.7284539544555404	0.45035558635870876	0.0012785050599992687	0.9713783206306754	0.0017550938562133915	1.0	1.0												
lmo0773	-0.3402783855204188	0.6693765068707744	-1.2460128100674999	6.53504504394291E-9	3.6617453916794003	0.5000001855863775	0.5000093679870705												
lmo0774	0.035129945519409844	0.9645984630067117	-0.49178625357500017	2.0019404259153943E-4	-13.999061094566189	0.5025403383361374	0.7869781600549718												
lmo0775	-0.07073125232943056	0.9292071243114416	-0.6105187999099995	0.10579821580893967	8.631528211412267	1.0	1.0												
lmo0776	-0.21088338564381992	0.826862393350235	-1.084122607526	4.279133329313623E-6	5.140863061431843	0.5000773645367478	0.5061341376275711												
lmo0777	1.5686882602434196	0.056691803101888816	0.33317716589	0.227803581503501	0.21239220967861364	1.0	1.0												
lmo0778	-0.5711382621737489	0.5021789184868497	-0.8019565662600003	0.007023863857846027	1.4041373505738495	0.5609721840727185	1.0												
lmo0779	0.8724093181292201	0.2797059789973484	-0.8150717137290004	3.581962770924657E-4	-0.9342767171226766	0.5042898780993609	1.0												
lmo0780	0.8563339210183099	0.21287310085001865	-0.3984977397199998	0.5903701873112868	-0.465353210866768	1.0	1.0												
lmo0781	-0.3503932876330591	0.6551269612150319	-1.1623435904829997	1.6271955571033915E-4	3.31725415841937	0.5021255676831281	0.7332584831107711												
lmo0782	-0.4702123785691601	0.5543821865898844	-1.337669971233	1.649191894657716E-10	2.844820834584328	0.5000000059022808	0.5000002364116581												
lmo0783	-0.7511154943844396	0.3429235033440783	-1.300051145366	6.450158918052106E-11	1.7308272230909425	0.5000000023996577	0.5000000924630281												
lmo0784	-0.9069512576534784	0.24330442212378844	-1.4320473887620002	1.7192893447000468E-11	1.5789684138782538	0.5000000006877052	0.5000000246460128												
lmo0785	-0.03602392496086004	0.9646454533601199	-0.20241017721400034	0.013522027126833256	5.618770787300906	0.6089579211517258	1.0												
lmo0786	-0.7132831657270611	0.36976261594458937	-0.8299158210949997	3.331734916547109E-5	1.1635152222456464	0.5005084764595062	0.5477604200287028												
lmo0787	0.05026600659557978	0.9501455651030526	-1.19008784114	1.6283861454997504E-13	-23.675798451923416	0.5000000000084454	0.5000000002334292												
lmo0788	-0.23956682352289072	0.7614013104989679	-0.5491756527099998	3.35913650780292E-16	2.292369388357841	0.5000000000000246	0.5000000000004815												
lmo0789	-0.03547186987849926	0.9675039108979006	-0.6321671268005002	0.02518600107366313	17.821646531909465	0.6880041349889446	1.0												
lmo0790	0.2570685399419199	0.7839151101292785	-0.10862500068000003	0.7264280487314425	-0.4225526807151973	1.0	1.0												
lmo0791	-1.2347444771358003	0.1567241752449151	-1.2403140680100004	2.4154331248486233E-10	1.0045107234552042	0.5000000083515395	0.5000003462523385												
lmo0792	0.09781467791987986	0.9140990388808337	-0.9014377489999998	0.01773637145969769	-9.215771785686078	0.6383619301544698	1.0												
lmo0793	0.7969624723769293	0.35421759957401155	-0.637497572634	1.8605915582568077E-5	-0.7999091484604947	0.500300836097484	0.5266715799876114												
lmo0794	-1.396800970289899	0.10289373196942087	-3.144343989268	1.5339152593804722E-18	2.251103812317232	0.5000000000000001	0.5000000000000022												
lmo0795	0.5206742610629096	0.5334175033248909	-1.018562879113	9.964537670335621E-9	-1.9562381997406508	0.5000002771910838	0.5000142841647505												
lmo0796	-1.1114568737969694	0.16065737576727024	-1.6452699558765005	1.0517959353977664E-9	1.480282316538215	0.5000000328412895	0.5000015077494734												
lmo0797	-0.5683338930809505	0.49848662145540357	-0.7136853902600002	0.03409655039354076	1.255750183032541	0.7469440223531112	1.0												
lmo0798	-0.32304034848859065	0.7109417941311771	-1.6230512551635001	1.842597777122079E-12	5.024298861604355	0.5000000000841531	0.5000000026413639												
lmo0799	-0.33685054378783086	0.666866446442171	-0.9767269872320008	2.4583981269484104E-12	2.8995856033030583	0.5000000001114456	0.5000000035241137												
lmo0800	-0.11563068280423039	0.8916517341290549	-1.3047121544550002	0.0016623219165530672	11.283442446361363	0.5169554243823915	1.0												
lmo0801	0.3559847307312811	0.5937142872260672	-0.75104562895	0.007166627313934184	-2.1097692235483407	0.5621233551953162	1.0												
lmo0802	1.3859971167183396	0.10927745108762288	1.0975558875100004	3.767366934083219E-5	0.7918890120844633	0.500569282301799	0.554005205000083												
lmo0803	0.5108012039726084	0.5411615025519085	-0.19762394820500018	0.2970586818815868	-0.38689013782277165	1.0	1.0												
lmo0804	-0.1493048783145401	0.8760149745575334	-1.2551184637940005	0.007120425233496523	8.406412958254764	0.5617666000815477	1.0												
lmo0805	-0.7075046901167195	0.4160118955584686	-0.9195886264369999	4.097982626660579E-6	1.2997632938451507	0.500074640685519	0.505874458095318												
lmo0806	0.15954211112074024	0.8591316948901362	-0.6686800529549999	0.31525572547840675	-4.191244858537368	1.0	1.0												
lmo0807	-0.22080156730819933	0.7853136142530074	-0.7838540060200003	0.010850980596899653	3.5500382337679737	0.5901027783517633	1.0												
lmo0808	0.8990946256415695	0.3766221809637851	-0.05752274673500013	0.6144430058595333	-0.06397852361085293	1.0	1.0												
lmo0809	0.7126465336529098	0.45481039015931346	-0.058848004140000576	0.9957858211706635	-0.08257670719080792	1.0	1.0												
lmo0810	0.8406216282248398	0.3860102632927185	0.3239486167700001	0.6890415878717698	0.3853679299854441	1.0	1.0												
lmo0811	0.9067298414828002	0.2677413352453575	0.31242208829999996	0.3384554603788176	0.34455917739410397	1.0	1.0												
lmo0812	-0.026542168539490874	0.9755845167009772	-1.0541042498450004	1.6918603679947955E-4	39.7143228247024	0.5021906802869971	0.7425281837520539												
lmo0813	-1.0296512607480395	0.1981314042547362	-1.8984054283800003	2.0522237019108005E-14	1.8437363219473093	0.5000000000011962	0.5000000000294186												
lmo0814	0.5194967363284615	0.5179916974700218	-0.4085867880699998	0.09007926602794325	-0.7865050143677191	1.0	1.0												
lmo0815	0.6938939335677405	0.49363127973135823	0.6971976236699993	0.17370209180682405	1.0047610880315272	1.0	1.0												
lmo0816	0.3579174404195209	0.7276552177329803	-0.6880455701800003	0.15538771363423032	-1.922358322001663	1.0	1.0												
lmo0817	-0.05515636098068022	0.9486827546352022	-1.277629624642	8.734287293771058E-4	23.163776614804576	0.5095196832056385	1.0												
lmo0818	-0.9162314767900899	0.33014916455882914	-0.8033083326499999	4.631022740236446E-12	0.8767526034624973	0.5000000002024387	0.5000000066385711												
lmo0819	-1.088791123540621	0.26622102528066816	-1.3136078147649999	2.0259031077905396E-9	1.2064828472272087	0.5000000612263581	0.500002904132105												
lmo0820	-0.2198386354407491	0.8320459210192497	0.32724613246	0.18538387894409425	-1.4885742526736132	1.0	1.0												
lmo0821	0.19719797737512135	0.8272199069186108	-0.31657786700000035	0.3658004672681744	-1.6053809030596073	1.0	1.0												
lmo0822	0.3981402693972296	0.6369499110672037	-1.2163494870359997	1.8343154492270558E-4	-3.055077771654473	0.5023485018745764	0.7629491196466984												
lmo0823	-0.15390465718563995	0.8457335910266619	-0.87093862561	7.840189768860193E-5	5.658949128222111	0.5011093925545541	0.6123891203366109												
lmo0824	0.2915767893493202	0.7610249085919099	-0.5246538166099999	1.1683360730135578E-4	-1.799367562077942	0.5015727116816293	0.6674809760664935												
lmo0825	0.023686671839149298	0.9799721933206631	-0.3507709297799999	0.10765369049609308	-14.808789185834296	1.0	1.0												
lmo0826	0.47657759592359916	0.5661066091992044	0.16623631002999995	0.2852076395905415	0.3488126832899831	1.0	1.0												
lmo0827			-0.3003814100700004	0.6622841970756961	3.003814100700004E-7	0.6622841970756961	0.6622841970756961												
lmo0828			-0.8872697331400001	0.002954020136413972	8.872697331400001E-7	0.05627494756312529	1.0												
lmo0829	-0.4131862413796803	0.6063091607759881	-1.1423488447399999	7.646481834268746E-57	2.764731083313798	0.5	0.5												
lmo0830	-0.024969998144409367	0.979134810775656	-0.3702881745569999	0.04070000031887034	14.8293232708912	0.7863601475590931	1.0												
lmo0831	0.7904023474758901	0.3455402259521758	-0.6403242256870003	7.507162136174971E-4	-0.8101243976967468	0.5082855058656616	1.0												
lmo0832	0.20806774708002074	0.5099356864555904	-0.8144032333450002	0.5462817878519405	-3.914125301850791	1.0	1.0												
lmo0833	0.72611105325241	0.3402992486917431	0.016139902479999968	0.6515186984008614	0.02222787052711265	1.0	1.0												
lmo0834	0.22116537311156925	0.6641552650822857	-0.7364539845550002	0.04837927390479052	-3.3298792401082067	0.8347389832869769	1.0												
lmo0835	0.0334276362374295	0.9611895877271635	-0.78704212295	1.298990503476858E-4	-23.544653811588844	0.5017319608646625	0.6862102886734076												
lmo0836	0.9425857544614598	0.24466490292504672	-1.0794099107969997	0.021346673367634218	-1.1451583112601924	0.6630956855948542	1.0												
lmo0837	1.1337414415996907	0.16154456590596977	0.0986283928299998	0.5790824640911253	0.08699372644510264	1.0	1.0												
lmo0838	7.94541543214774	0.0	6.755936610989999	1.4787173573887343E-59	0.8502936905797246	3.6198447609652087E-56	2.1197413318167505E-56												
lmo0839	2.68441887317724	0.005640817676830778	1.3895734052235	1.8841255607489934E-8	0.5176440305602609	0.5000005046246032	0.5000270089399134												
lmo0840	0.11990577529051905	0.9072317704858777	0.623979316147	0.06573065178714912	5.203913778424466	0.9361739460599185	1.0												
lmo0841	0.21041383188025087	0.8056074298248073	-0.35199104000000014	0.13129016339521882	-1.6728512420244437	1.0	1.0												
lmo0842	0.5855963974976293	0.567354075134032	-0.3489370847000002	0.006050410578033941	-0.5958661736839199	0.553469959219224	1.0												
lmo0843	0.5292212231008007	0.6029316001481808	-0.4906317386400003	0.24059868563536158	-0.9270825076993365	1.0	1.0												
lmo0844	-0.3012940405954794	0.7279526762542858	-0.7715150745400003	1.8171617351598203E-5	2.5606715387240095	0.5002945923135101	0.5260490134735161												
lmo0845	-0.7517129039821508	0.38279886939896246	-1.709659412205	1.5070144312228996E-14	2.2743515551591424	0.5000000000009086	0.500000000021603												
lmo0846	-0.7587202389011001	0.42760025172898164	-1.0537034408700001	0.0012906478704404773	1.388790474860855	0.5135135059623948	1.0												
lmo0847	-0.6520275043298795	0.4968531860373613	-0.280082948155	0.3131397949413536	0.4295569531884317	1.0	1.0												
lmo0848	-0.2903114599390193	0.7347461285039565	-0.9469267636850003	6.751549190774818E-5	3.261761571120564	0.5009699260441816	0.596783457649757												
lmo0849	0.4465502867044293	0.37677184710804124	-0.6723150604710009	0.0025176047383405516	-1.505575252079067	0.5245147263204282	1.0												
lmo0850	-0.26412732036774056	0.7754626304863466	-0.7559952588750003	0.03664047175312711	2.8622380215058376	0.7621113496680727	1.0												
lmo0851	0.036790956489339166	0.9629481808681253	-1.07636800617	0.011433717746010397	-29.256320272127116	0.5942401118551459	1.0												
lmo0852	-0.18513241089963994	0.8486579632647739	-0.9075785075300002	3.005056733668419E-4	4.902321009701524	0.5036598340508847	0.9307748827713679												
lmo0853	0.05766315100284114	0.9545849753408187	-0.8277334509549998	0.0013699586465989438	-14.354634399258138	0.5142290943955171	1.0												
lmo0854	0.40251860429828934	0.6811264657980267	-0.7387492132300002	0.00209432376910592	-1.8353169402389777	0.5209600417922708	1.0												
lmo0855	0.05554903102162001	0.9440969102210996	-0.6070074565799999	3.3711134403789632E-6	-10.92741755195962	0.5000628990820379	0.5048324911167832												
lmo0856	0.016838643559239586	0.9830255731662787	-0.2563873617500003	0.008727084841718958	-15.226129162245803	0.5743427989110873	1.0												
lmo0857	0.5264687904271597	0.5167970039986916	-0.3175625814549998	0.14220408928547756	-0.603193555305225	1.0	1.0												
lmo0858	-0.3598386272441303	0.6820127096354088	-1.1707903382760003	6.42789491307218E-7	3.2536538593498046	0.5000131345961865	0.5009214387357889												
lmo0859	-0.044718821770730166	0.9431710434972308	-0.7910644314450002	2.253528876633223E-4	17.689742263352205	0.5028203243193035	0.8230433644653725												
lmo0860	0.05156699568131007	0.9431759664514388	-0.8432719712999992	0.0028526271548646735	-16.352939708016276	0.5274062972405882	1.0												
lmo0861	0.2704373942357803	0.7454351143142781	-0.8004953157749997	0.014641641015824108	-2.960002325259389	0.6163707446525303	1.0												
lmo0862	0.49709313248574016	0.6153062501037683	-0.534972484459999	0.014758506934674835	-1.076201720560574	0.6172234677141276	1.0												
lmo0863	-0.18230117045303107	0.8394443656156041	-0.6052089578400004	0.0777973562844533	3.3198303463220458	1.0	1.0												
lmo0864	-0.1504077923403795	0.8846118433549817	-0.6922884046800002	0.0024992751524915368	4.602742942422298	0.5243750281141225	1.0												
lmo0865	-0.27334430536091947	0.7888265307408551	-0.9186670871950002	5.069875175753302E-6	3.360842238809427	0.5000894802794358	0.5072676660644424												
lmo0866	0.5341740088816991	0.40858369903304714	-0.12982072140000023	0.2217522302922872	-0.24303077132446366	1.0	1.0												
lmo0866a			-1.659027070185	0.007875589455132509	1.6590270701850001E-6	0.1355776955078225	1.0												
lmo0867	1.3475058493441896	0.1032813871318945	0.36319921748000006	0.21279711309520621	0.2695344273694719	1.0	1.0												
lmo0868	-0.47634213640550094	0.5971069538898225	-1.7355138710225002	9.31705424350542E-9	3.6434187496381605	0.500000260958812	0.500013355997258												
lmo0869	-0.9710745390800009	0.3510212721496557	-0.8658101873800002	1.7226944364427774E-4	0.8916001321590323	0.5022242043889634	0.7469482474640722												
lmo0870	-0.3824324197191	0.7120656130873834	-0.9209899506700001	0.0036596251213867454	2.4082423538947753	0.5339856804366196	1.0												
lmo0871	0.9679753756514398	0.26120133368275744	-0.44905986443699986	0.04281578499123754	-0.4639166199189583	0.7999754997093881	1.0												
lmo0872	0.2824296232456609	0.7516316334569233	-0.9080717977099999	7.817877097364462E-5	-3.2152144214707516	0.5011075156602343	0.6120692681907196												
lmo0873	-0.061785052300050936	0.8951505736835677	-0.8502564351450004	5.342381493479963E-6	13.761523272908185	0.5000939507902114	0.5076583038709035												
lmo0874	0.38139651971750954	1.0	-0.75789121643	0.328311109870422	-1.9871476986506071	1.0	1.0												
lmo0875	0.27755484875502034	0.6379191098603589	-0.5649209568050004	0.35697348821435937	-2.0353489025285216	1.0	1.0												
lmo0876	0.2942602752549499	0.7008582743676905	-0.8563847664199997	0.0019487703037386983	-2.9102968984788036	0.5196156117821498	1.0												
lmo0877	-0.2708020146708492	0.7365432660517552	-0.4885708258500001	0.10206625269970715	1.8041624485099996	1.0	1.0												
lmo0878	-0.15977083290064975	0.867008312697818	-0.5737372327750001	0.023340820278095416	3.591001075470183	0.6762977228940958	1.0												
lmo0879	-0.0946975017574303	0.9268066297352167	-0.7659072234800002	0.10277578833303014	8.087934837414064	1.0	1.0												
lmo0880	-0.9951648927832695	0.3360919160618866	-1.4588687240200002	1.529814788892949E-11	1.4659567822372104	0.5000000006159423	0.500000021929895												
lmo0881	0.2904009919497401	0.7400028826881886	-0.45643994084850004	0.19372451149740577	-1.5717575128927121	1.0	1.0												
lmo0882	-0.0296631941758303	0.9710208344008443	-0.8965891324700004	3.81748668743499E-5	30.225643508093444	0.5005761445480883	0.5547236716643806												
lmo0883	-0.09052760178753871	0.9085379453486478	-1.075208694095	9.245316336834349E-16	11.877136617607874	0.5000000000000646	0.5000000000013253												
lmo0884	-0.5118020153947489	0.5814195821104926	-0.33820747751000013	0.0010649635117226737	0.6608170099704342	0.5113743055340908	1.0												
lmo0885	-0.6168123853605305	0.5010612215245116	-0.4177191981899999	0.03966209345797638	0.677222455489185	0.7804486445069997	1.0												
lmo0886	-0.5280236986334703	0.5395662319778856	-0.3086725666999999	0.002967054167197138	0.5845808957038235	0.5282396484506913	1.0												
lmo0887	0.06089339177841069	0.9385157259900139	-0.8888901764200003	0.0013544838080535922	-14.59748177034786	0.5140974731322403	1.0												
lmo0888	0.38776737813726925	0.6280181609918478	-0.12389293129000012	0.7236415561818454	-0.3195032338335128	1.0	1.0												
lmo0889	-0.26729330980494836	0.7461213890195262	0.024246918579999832	0.9836770266770833	-0.0907127776512383	1.0	1.0												
lmo0890	-0.55497868753754	0.4949579567858957	-0.17033770269999993	0.48224744757709037	0.30692656587551914	1.0	1.0												
lmo0891	-0.3615591375383804	0.6582070774348164	0.15039814549000052	0.4939927632916984	-0.41597108156071805	1.0	1.0												
lmo0892	0.011814058329230548	0.9884752957142993	0.40724891096999993	0.04324843195267695	34.47155072549266	0.8023960710932012	1.0												
lmo0893	-0.6048248490646397	0.4446271811431315	-1.2339661168000005	5.349208023995443E-5	2.0402040668605568	0.5007868308120564	0.5766808970239747												
lmo0894	-0.48749139950824016	0.5356469308129337	-1.1520391695249999	1.8738514302603324E-7	2.363198962457853	0.5000043112013031	0.5002686166025279												
lmo0895	-0.22327503608299892	0.7720651944940747	-1.1693355976300004	1.7318267464034976E-13	5.237198112893009	0.5000000000089064	0.5000000002482574												
lmo0896	-0.3014935410317605	0.7002912896297192	-1.12608581726	8.985396721578952E-8	3.735024682141942	0.5000021649522601	0.5001288056620038												
lmo0897	0.14044761544371998	0.8851328294502898	-0.42684075766999996	9.169284802641746E-5	-3.0391456367662086	0.50127534466506	0.6314416976458694												
lmo0898	0.07643383549286042	0.9236197256169205	-0.5975600415300004	0.014517868096544779	-7.818004129673928	0.6156122247165193	1.0												
lmo0899	0.41017346138606214	0.6315176814730434	-0.3235798641650003	0.3230435978981203	-0.7888854219664921	1.0	1.0												
lmo0900	1.0791173510201606	0.20717084215908765	0.6122686403250002	9.655523483638108E-4	0.5673791082556335	0.5103941777494695	1.0												
lmo0901	0.07173341043576009	0.9424487566357023	-1.5800515066050007	3.560269970958144E-10	-22.026716658341442	0.5000000121384508	0.5000005103647004												
lmo0902	0.5846449274470107	0.46992799139083585	-1.0487524971700002	7.255574930195881E-10	-1.793828096225215	0.5000000232478743	0.5000010400866662												
lmo0903	-0.07138588738446039	0.9338888773979844	-0.8391729461450002	0.06186092265220893	11.755446025703888	0.9139781956557617	1.0												
lmo0904	-0.18684385137309967	0.8245882216964524	-1.0258782380100002	4.583649327763294E-7	5.4905646103465955	0.5000097064031537	0.5006570661311349												
lmo0905	0.17638366665686078	0.8362265677495098	-0.6838486903900003	9.67825260834305E-5	-3.877052242713431	0.501334878491341	0.6387377511405976												
lmo0906	-0.33833967566773104	0.6654742952106617	-1.1721141992750002	2.174734148436059E-15	3.4643120023147493	0.5000000000001479	0.5000000000031175												
lmo0907	-0.2613659695128394	0.740700857079865	-1.2517970061800001	2.0831265810525907E-11	4.789441443020403	0.5000000008251482	0.5000000298616195												
lmo0908	0.0809243171991092	0.9186321507445916	-1.0645672989255002	1.8826502043200567E-7	-13.155097698337068	0.5000043233182515	0.5002698779067892												
lmo0909	0.09317033695155175	0.9124139771679087	-0.37822885595000066	0.07159709687745944	-4.059541570045822	0.9683779106651215	1.0												
lmo0910	0.17687316064739989	0.8357254788984745	-0.8456774339700002	2.2050926432751973E-7	-4.781264895559111	0.5000049860073165	0.5003161000304135												
lmo0911	-0.718627336938491	0.3598756948168247	-2.1407476291500003	1.5919836419167267E-14	2.978939874831441	0.5000000000009414	0.5000000000228211												
lmo0912	0.04580027738490955	0.953954604818863	-1.496248931725	3.2995430829758433E-21	-32.66899279125305	0.5	0.5												
lmo0913	-1.9047223803508295	0.019112335237701172	-2.9344554292300002	1.0995055849670786E-35	1.5406210687194766	0.5	0.5												
lmo0914	-2.255117108480621	0.007273759568953375	-3.06752765345	4.328155897695645E-7	1.3602520427494509	0.5000092292366627	0.5006204411479347												
lmo0915	-2.42050317912918	0.01875669079634701	-3.0431239668199996	4.579886177609318E-17	1.2572278330635445	0.5000000000000038	0.5000000000000656												
lmo0916	-0.07735533753306001	0.8810315336590434	-0.5385364500300005	0.09329159658547741	6.961852500479901	1.0	1.0												
lmo0917	-0.0067582603077100956	0.9947608884265703	-0.4664349900299998	0.026647522027402934	69.01702047461414	0.6977930164922502	1.0												
lmo0918	0.4891724018519996	0.5514237234196253	-0.7429086797800002	2.7476994953591618E-5	-1.5187052191974828	0.5004278794880767	0.5393882722659736												
lmo0919	0.5276501307845498	0.6032009488447809	-0.26586124194000016	0.04906294297235092	-0.5038589520383473	0.8390859643792369	1.0												
lmo0920	-0.06259269562288061	0.9409808923208011	-1.25768556506	1.5481412418825047E-14	20.09316826099843	0.5000000000009244	0.5000000000221926												
lmo0921	-0.34685789060579886	0.6832792865973862	-0.6645200182700002	2.5010468837238447E-5	1.915827883025506	0.5003955083455044	0.5358525070781813												
lmo0922	0.4227524782131198	0.600526505984484	-0.17436399219999976	0.3391200782913768	-0.41244936738631877	1.0	1.0												
lmo0923	0.021789385731590727	0.9789519906565578	-0.6476314372899998	0.0018906444770162268	-29.72233569444088	0.5191519412162698	1.0												
lmo0925	-0.37136541855280036	0.6564575309107155	-0.56227679649	5.571565393502861E-5	1.51407957876416	0.5008148328901172	0.5798683899158635												
lmo0926	-0.41090431244687053	0.6272073873720485	-1.0528020995150003	6.120548279044433E-7	2.5621587985916463	0.5000125746443062	0.500877380595801												
lmo0927	0.12865519393113978	0.8706573989970374	-0.2584254997490003	0.003638267010634527	-2.008667445539102	0.5338354265784656	1.0												
lmo0928	0.5636204983321305	0.5495719856652086	-0.14778228553999906	0.39575154114177546	-0.2622017580576246	1.0	1.0												
lmo0929	-0.07261377652273104	0.9323861566349394	0.038826876299999924	0.9650272052716417	-0.5347039936401813	1.0	1.0												
lmo0930	-0.44076111995183	0.5861505218042063	-0.5770949769099998	3.48441936130325E-4	1.309314616890595	0.5041853425996918	0.9994915154428209												
lmo0931	-0.14514630383702176	0.8544207465444053	-0.6995727216349998	1.3599099276792918E-6	4.819776343877957	0.500026589525707	0.5019494308813283												
lmo0932	0.2650027485837807	0.7560628900393298	-0.8947570534410003	6.694140236899623E-5	-3.376406690959745	0.5009639414601098	0.595960500295956												
lmo0933	-0.7125698505985198	0.36165881604862526	-1.381299213702	3.304348446116304E-18	1.938475522844229	0.5000000000000003	0.5000000000000048												
lmo0934	-0.21891193753237026	0.7838948571708163	-0.8283779034599998	2.5365116345568948E-8	3.784069122943597	0.5000006619707432	0.5000363608942814												
lmo0935	-0.17329543629133148	0.8262725172360886	-0.4945636558150004	0.011783656506380413	2.8538758226937753	0.5966687339561892	1.0												
lmo0936	0.1875654156914095	0.8202122376373238	0.15546183192499985	0.7276307729598175	0.8288406013013198	1.0	1.0												
lmo0937	-1.1944381149011	0.12287572859857321	-2.6242291676365	1.9497010233219248E-8	2.1970407130333305	0.5000005210475057	0.5000279489641694												
lmo0938	-0.27606238103235015	0.741171231354794	-0.8611813278110003	0.0016460518443035248	3.1195171344627486	0.516817501350971	1.0												
lmo0939	0.11672933280427955	0.8968706210485009	-0.037778264500500036	0.580564051897445	-0.3236398563490719	1.0	1.0												
lmo0940	0.4230590709583595	0.60901042976656	0.1522398910170002	0.6162513938155383	0.35985492681230025	1.0	1.0												
