#   See ftp://ftp.ncbi.nlm.nih.gov/genomes/README_assembly_summary.txt for a description of the columns in this file.
# assembly_accession	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq	relation_to_type_material
GCF_000008285.1	PRJNA224116	SAMN02603980		na	265669	1639	Listeria monocytogenes serotype 4b str. F2365	strain=4b F2365		latest	Complete Genome	Major	Full	2005/12/07	ASM828v1	TIGR	GCA_000008285.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/008/285/GCF_000008285.1_ASM828v1		
GCF_000021185.1	PRJNA224116	SAMN02603154		na	552536	1639	Listeria monocytogenes HCC23	strain=HCC23		latest	Complete Genome	Major	Full	2008/12/12	ASM2118v1	College of Veterinary Medicine, Mississippi State University	GCA_000021185.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/021/185/GCF_000021185.1_ASM2118v1		
GCF_000022925.1	PRJNA224116	SAMN02603721		na	637381	1639	Listeria monocytogenes 08-5923	strain=08-5923		latest	Complete Genome	Major	Full	2010/01/20	ASM2292v1	Public Health Agency of Canada	GCA_000022925.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/022/925/GCF_000022925.1_ASM2292v1		
GCF_000026705.1	PRJNA224116	SAMEA2272134		na	568819	1639	Listeria monocytogenes serotype 4b str. CLIP 80459	strain=Clip80459		latest	Complete Genome	Major	Full	2009/03/30	ASM2670v1	Institut Pasteur - Unite de Biologie des Bacteries Intracellulaires	GCA_000026705.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/026/705/GCF_000026705.1_ASM2670v1		
GCF_000093125.2	PRJNA224116	SAMN02603776		na	653938	1639	Listeria monocytogenes 08-5578	strain=08-5578		latest	Complete Genome	Major	Full	2014/06/12	ASM9312v2	Public Health Agency of Canada	GCA_000093125.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/093/125/GCF_000093125.2_ASM9312v2		
GCF_000167135.1	PRJNA224116	SAMN02415268	AADQ00000000.1	na	267409	1639	Listeria monocytogenes serotype 1/2a str. F6854	strain=1/2a F6854		latest	Contig	Major	Full	2004/05/04	ASM16713v1	TIGR	GCA_000167135.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/167/135/GCF_000167135.1_ASM16713v1		
GCF_000167155.1	PRJNA224116	SAMN02415269	AADR00000000.1	na	267410	1639	Listeria monocytogenes serotype 4b str. H7858	strain=4b H7858		latest	Scaffold	Major	Full	2004/05/04	ASM16715v1	TIGR	GCA_000167155.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/167/155/GCF_000167155.1_ASM16715v1		
GCF_000168395.1	PRJNA224116	SAMN02415199	AARJ00000000.2	na	393117	1639	Listeria monocytogenes FSL J1-194	strain=FSL J1-194		latest	Contig	Major	Full	2008/08/28	ASM16839v1	Broad Institute	GCA_000168395.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/168/395/GCF_000168395.1_ASM16839v1		
GCF_000168415.1	PRJNA224116	SAMN02415200	AARK00000000.2	na	393118	1639	Listeria monocytogenes FSL J1-175	strain=FSL J1-175		latest	Contig	Major	Full	2008/09/03	ASM16841v1	Broad Institute	GCA_000168415.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/168/415/GCF_000168415.1_ASM16841v1		
GCF_000168515.1	PRJNA224116	SAMN02415204	AARP00000000.4	na	393123	1639	Listeria monocytogenes FSL N1-017	strain=FSL N1-017		latest	Contig	Major	Full	2010/07/14	ASM16851v1	Broad Institute	GCA_000168515.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/168/515/GCF_000168515.1_ASM16851v1		
GCF_000168535.1	PRJNA224116	SAMN02415205	AARQ00000000.2	na	393124	1639	Listeria monocytogenes FSL N3-165	strain=FSL N3-165		latest	Contig	Major	Full	2008/09/03	ASM16853v1	Broad Institute	GCA_000168535.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/168/535/GCF_000168535.1_ASM16853v1		
GCF_000168555.1	PRJNA224116	SAMN00761062	AARR00000000.2	na	393125	1639	Listeria monocytogenes FSL R2-503	strain=FSL R2-503		latest	Contig	Major	Full	2008/08/28	ASM16855v1	Broad Institute	GCA_000168555.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/168/555/GCF_000168555.1_ASM16855v1		
GCF_000168575.2	PRJNA224116	SAMN00013319		na	393126	1639	Listeria monocytogenes FSL R2-561	strain=FSL R2-561		latest	Complete Genome	Major	Full	2011/09/13	ASM16857v2	Broad Institute	GCA_000168575.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/168/575/GCF_000168575.2_ASM16857v2		
GCF_000168595.2	PRJNA224116	SAMN00012880		na	393127	1639	Listeria monocytogenes Finland 1998	strain=Finland 1988		latest	Complete Genome	Major	Full	2011/09/14	ASM16859v2	Broad Institute	GCA_000168595.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/168/595/GCF_000168595.2_ASM16859v2		
GCF_000168615.1	PRJNA224116	SAMN00771317	AARU00000000.2	na	393128	1639	Listeria monocytogenes F6900	strain=F6900		latest	Contig	Major	Full	2008/09/03	ASM16861v1	Broad Institute	GCA_000168615.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/168/615/GCF_000168615.1_ASM16861v1		
GCF_000168635.2	PRJNA224116	SAMN00769971		na	393130	1639	Listeria monocytogenes J0161	strain=J0161		latest	Complete Genome	Major	Full	2011/09/07	ASM16863v2	Broad Institute	GCA_000168635.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/168/635/GCF_000168635.2_ASM16863v2		
GCF_000168655.1	PRJNA224116	SAMN00769972	AARX00000000.2	na	393131	1639	Listeria monocytogenes J2818	strain=J2818		latest	Contig	Major	Full	2008/09/03	ASM16865v1	Broad Institute	GCA_000168655.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/168/655/GCF_000168655.1_ASM16865v1		
GCF_000168695.2	PRJNA224116	SAMN02641382		na	393133	1639	Listeria monocytogenes 10403S	strain=10403S		latest	Complete Genome	Major	Full	2011/09/07	ASM16869v2	Broad Institute	GCA_000168695.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/168/695/GCF_000168695.2_ASM16869v2		
GCF_000168815.1	PRJNA224116	SAMN02415241	AATL00000000.2	na	401650	1639	Listeria monocytogenes HPB2262	strain=HPB2262		latest	Contig	Major	Full	2008/09/03	ASM16881v1	Broad Institute	GCA_000168815.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/168/815/GCF_000168815.1_ASM16881v1		
GCF_000195395.4	PRJNA224116	SAMN01816124		na	930782	1639	Listeria monocytogenes J1-220	strain=J1-220		latest	Complete Genome	Minor	Full	2017/10/23	ASM19539v5	FDA	GCA_000195395.5	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/195/395/GCF_000195395.4_ASM19539v5		
GCF_000195435.3	PRJNA224116	SAMN01813900		na	930781	1639	Listeria monocytogenes J1816	strain=J1816		latest	Complete Genome	Major	Full	2015/09/08	ASM19543v4	FDA	GCA_000195435.4	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/195/435/GCF_000195435.3_ASM19543v4		
GCF_000196035.1	PRJNA61583	SAMEA3138329		reference genome	169963	1639	Listeria monocytogenes EGD-e	strain=EGD-e		latest	Complete Genome	Major	Full	2003/05/06	ASM19603v1	European Consortium	GCA_000196035.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/196/035/GCF_000196035.1_ASM19603v1		
GCF_000197755.2	PRJNA224116	SAMEA2271969		na	932919	1639	Listeria monocytogenes SLCC2755	strain=SLCC2755		latest	Complete Genome	Major	Full	2012/09/10	ASM19775v2	ERA-NET / Spatelis	GCA_000197755.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/197/755/GCF_000197755.2_ASM19775v2		
GCF_000209755.1	PRJNA224116	SAMEA2272406		na	563174	1639	Listeria monocytogenes L99	strain=L99		latest	Complete Genome	Major	Full	2010/09/22	ASM20975v1	Justus-Liebig-University Giessen	GCA_000209755.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/209/755/GCF_000209755.1_ASM20975v1		
GCF_000210795.2	PRJNA224116	SAMEA2272162		na	863767	1639	Listeria monocytogenes serotype 7 str. SLCC2482	strain=SLCC2482		latest	Chromosome	Major	Full	2012/09/10	ASM21079v2	ERA-NET / Spatelis	GCA_000210795.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/210/795/GCF_000210795.2_ASM21079v2		
GCF_000210815.2	PRJNA224116	SAMEA2272627		na	932920	1639	Listeria monocytogenes SLCC2372	strain=SLCC2372		latest	Complete Genome	Major	Full	2012/09/10	ASM21081v2	ERA-NET / Spatelis	GCA_000210815.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/210/815/GCF_000210815.2_ASM21081v2		
GCF_000212455.1	PRJNA224116	SAMN02415240	AFGI00000000.1	na	1027396	1639	Listeria monocytogenes str. Scott A	strain=Scott A		latest	Chromosome	Major	Full	2011/05/06	ASM21245v1	Institute of Food, Nutrition and Health, ETH Zurich	GCA_000212455.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/212/455/GCF_000212455.1_ASM21245v1		
GCF_000218305.1	PRJNA224116	SAMN02604342		na	1030009	1639	Listeria monocytogenes M7	strain=M7		latest	Complete Genome	Major	Full	2011/06/14	ASM21830v1	Zhejiang University	GCA_000218305.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/218/305/GCF_000218305.1_ASM21830v1		
GCF_000250715.1	PRJNA224116	SAMN01121066	AEIS00000000.1	na	393119	1639	Listeria monocytogenes FSL J1-208	strain=FSL J1-208		latest	Chromosome	Major	Full	2012/02/28	ASM25071v1	Food Safety Laboratory, Cornell University	GCA_000250715.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/250/715/GCF_000250715.1_ASM25071v1		
GCF_000258905.1	PRJNA224116	SAMN02604190		na	1126011	1639	Listeria monocytogenes 07PF0776	strain=07PF0776		latest	Complete Genome	Major	Full	2012/04/17	ASM25890v1	University of Illinois at Chicago	GCA_000258905.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/258/905/GCF_000258905.1_ASM25890v1		
GCF_000306905.1	PRJNA224116	SAMEA2272785		na	879089	1639	Listeria monocytogenes SLCC2540	strain=SLCC2540		latest	Complete Genome	Major	Full	2012/09/10	ASM30690v1	ERA-NET / Spatelis	GCA_000306905.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/306/905/GCF_000306905.1_ASM30690v1		
GCF_000306985.1	PRJNA224116	SAMEA2272571		na	879090	1639	Listeria monocytogenes SLCC7179	strain=SLCC7179		latest	Complete Genome	Major	Full	2012/09/10	ASM30698v1	ERA-NET / Spatelis	GCA_000306985.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/306/985/GCF_000306985.1_ASM30698v1		
GCF_000307005.1	PRJNA224116	SAMEA2272506		na	882020	1639	Listeria monocytogenes SLCC2479	strain=SLCC2479		latest	Complete Genome	Major	Full	2012/09/10	ASM30700v1	ERA-NET / Spatelis	GCA_000307005.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/307/005/GCF_000307005.1_ASM30700v1		
GCF_000307025.1	PRJNA224116	SAMEA2271997		na	882095	1639	Listeria monocytogenes ATCC 19117	strain=ATCC 19117		latest	Complete Genome	Major	Full	2012/09/10	ASM30702v1	ERA-NET / Spatelis	GCA_000307025.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/307/025/GCF_000307025.1_ASM30702v1		
GCF_000307045.1	PRJNA224116	SAMEA2272672		na	882096	1639	Listeria monocytogenes SLCC5850	strain=SLCC5850		latest	Complete Genome	Major	Full	2012/09/10	ASM30704v1	ERA-NET / Spatelis	GCA_000307045.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/307/045/GCF_000307045.1_ASM30704v1		
GCF_000307065.1	PRJNA224116	SAMEA2272177		na	882097	1639	Listeria monocytogenes SLCC2376	strain=SLCC2376		latest	Complete Genome	Major	Full	2012/09/10	ASM30706v1	ERA-NET / Spatelis	GCA_000307065.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/307/065/GCF_000307065.1_ASM30706v1		
GCF_000307085.1	PRJNA224116	SAMEA2272305		na	882094	1639	Listeria monocytogenes L312	strain=L312		latest	Complete Genome	Major	Full	2012/09/20	ASM30708v1	ERA-NET / Spatelis	GCA_000307085.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/307/085/GCF_000307085.1_ASM30708v1		
GCF_000307615.1	PRJNA224116	SAMEA2272689		na	879088	1639	Listeria monocytogenes SLCC2378	strain=SLCC2378		latest	Complete Genome	Major	Full	2012/09/10	ASM30761v1	ERA-NET / Spatelis	GCA_000307615.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/307/615/GCF_000307615.1_ASM30761v1		
GCF_000318055.1	PRJNA224116	SAMEA2272544		na	1230340	1639	Listeria monocytogenes serotype 4b str. LL195	strain=LL195		latest	Complete Genome	Major	Full	2012/11/21	ASM31805v1	University of Vienna	GCA_000318055.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/318/055/GCF_000318055.1_ASM31805v1		
GCF_000397145.1	PRJNA224116	SAMN02415250	APJT00000000.1	na	1293288	1639	Listeria monocytogenes serotype 1/2a str. NCCP No. 15743	strain=NCCP No. 15743		latest	Contig	Major	Full	2013/05/16	Listeria monocytogenes 1.0	Korea National Institute of Health	GCA_000397145.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/397/145/GCF_000397145.1_Listeria_monocytogenes_1.0		
GCF_000438585.1	PRJNA224116	SAMN02203126		na	1639	1639	Listeria monocytogenes	strain=R2-502	BL9401	latest	Complete Genome	Major	Full	2013/07/16	ASM43858v1	University of California at Davis	GCA_000438585.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/438/585/GCF_000438585.1_ASM43858v1		
GCF_000438605.1	PRJNA224116	SAMN02203127		na	1639	1639	Listeria monocytogenes	strain=C1-387	BL0044	latest	Complete Genome	Major	Full	2013/07/16	ASM43860v1	University of California at Davis	GCA_000438605.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/438/605/GCF_000438605.1_ASM43860v1		
GCF_000438625.1	PRJNA224116	SAMN02203122		na	1639	1639	Listeria monocytogenes	strain=J2-064	BL0117	latest	Complete Genome	Major	Full	2013/07/16	ASM43862v1	University of California at Davis	GCA_000438625.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/438/625/GCF_000438625.1_ASM43862v1		
GCF_000438645.1	PRJNA224116	SAMN02203124		na	1639	1639	Listeria monocytogenes	strain=J2-031	BL0125	latest	Complete Genome	Major	Full	2013/07/16	ASM43864v1	University of California at Davis	GCA_000438645.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/438/645/GCF_000438645.1_ASM43864v1		
GCF_000438665.1	PRJNA224116	SAMN02203123		na	1639	1639	Listeria monocytogenes	strain=J1-108		latest	Complete Genome	Major	Full	2013/07/16	ASM43866v1	University of California at Davis	GCA_000438665.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/438/665/GCF_000438665.1_ASM43866v1		
GCF_000438685.2	PRJNA224116	SAMN02203128		na	1639	1639	Listeria monocytogenes	strain=N1-011A	BL0003	latest	Complete Genome	Major	Full	2013/08/08	ASM43868v2	University of California at Davis	GCA_000438685.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/438/685/GCF_000438685.2_ASM43868v2		
GCF_000438705.2	PRJNA224116	SAMN02203125		na	1639	1639	Listeria monocytogenes	strain=J1776	J1776	latest	Complete Genome	Major	Full	2013/08/08	ASM43870v2	University of California at Davis	GCA_000438705.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/438/705/GCF_000438705.2_ASM43870v2		
GCF_000438725.2	PRJNA224116	SAMN02203129		na	1639	1639	Listeria monocytogenes	strain=J1817	J1817	latest	Complete Genome	Major	Full	2013/08/08	ASM43872v2	University of California at Davis	GCA_000438725.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/438/725/GCF_000438725.2_ASM43872v2		
GCF_000438745.2	PRJNA224116	SAMN02203130		na	1639	1639	Listeria monocytogenes	strain=J1926	J1926	latest	Complete Genome	Major	Full	2013/08/08	ASM43874v2	University of California at Davis	GCA_000438745.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/438/745/GCF_000438745.2_ASM43874v2		
GCF_000465735.1	PRJNA224116	SAMN02415231	AVQM00000000.1	na	1389485	1639	Listeria monocytogenes serotype 4bV str. LS642	strain=LS642		latest	Contig	Major	Full	2013/09/11	LmonocytogenesLS642	US FDA	GCA_000465735.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/465/735/GCF_000465735.1_LmonocytogenesLS642		
GCF_000465755.1	PRJNA224116	SAMN02415232	AVQN00000000.1	na	1389486	1639	Listeria monocytogenes serotype 4bV str. LS643	strain=LS643		latest	Contig	Major	Full	2013/09/11	Lmonocytogenes4bV	US FDA	GCA_000465755.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/465/755/GCF_000465755.1_Lmonocytogenes4bV		
GCF_000465775.1	PRJNA224116	SAMN02415233	AVQO00000000.1	na	1389488	1639	Listeria monocytogenes serotype 4bV str. LS644	strain=LS644		latest	Contig	Major	Full	2013/09/11	Lmonocytogenes4bV	US FDA	GCA_000465775.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/465/775/GCF_000465775.1_Lmonocytogenes4bV		
GCF_000465795.1	PRJNA224116	SAMN02415234	AVQP00000000.1	na	1389487	1639	Listeria monocytogenes serotype 4bV str. LS645	strain=LS645		latest	Contig	Major	Full	2013/09/11	Lmonocytogenes4bV	US FDA	GCA_000465795.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/465/795/GCF_000465795.1_Lmonocytogenes4bV		
GCF_000465815.1	PRJNA224116	SAMN02415235	AVQQ00000000.1	na	1391464	1639	Listeria monocytogenes serotype 4bV str. LS542	strain=LS542		latest	Contig	Major	Full	2013/09/11	Lmonocytogenes4bV	US FDA	GCA_000465815.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/465/815/GCF_000465815.1_Lmonocytogenes4bV		
GCF_000513595.1	PRJNA224116	SAMN05771122		na	1196183	1639	Listeria monocytogenes serotype 1/2a str. 08-6569	strain=08-6569		latest	Complete Genome	Major	Full	2014/01/07	ASM51359v1	Public Health Agency of Canada	GCA_000513595.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/513/595/GCF_000513595.1_ASM51359v1		
GCF_000513615.1	PRJNA224116	SAMN05771116		na	1196161	1639	Listeria monocytogenes serotype 4b str. 81-0861	strain=81-0861		latest	Complete Genome	Major	Full	2014/01/07	ASM51361v1	Public Health Agency of Canada	GCA_000513615.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/513/615/GCF_000513615.1_ASM51361v1		
GCF_000513635.1	PRJNA224116	SAMN05771121		na	1196184	1639	Listeria monocytogenes serotype 1/2a str. 08-6997	strain=08-6997		latest	Complete Genome	Major	Full	2014/01/07	ASM51363v1	Public Health Agency of Canada	GCA_000513635.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/513/635/GCF_000513635.1_ASM51363v1		
GCF_000513655.1	PRJNA224116	SAMN05771120		na	1196188	1639	Listeria monocytogenes serotype 1/2a str. 10-0815	strain=10-0815		latest	Complete Genome	Major	Full	2014/01/07	ASM51365v1	Public Health Agency of Canada	GCA_000513655.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/513/655/GCF_000513655.1_ASM51365v1		
GCF_000513675.1	PRJNA224116	SAMN05771119		na	1196190	1639	Listeria monocytogenes serotype 1/2a str. 10-1047	strain=10-1047		latest	Complete Genome	Major	Full	2014/01/07	ASM51367v1	Public Health Agency of Canada	GCA_000513675.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/513/675/GCF_000513675.1_ASM51367v1		
GCF_000513695.1	PRJNA224116	SAMN05771118		na	1196176	1639	Listeria monocytogenes serotype 1/2a str. 88-0478	strain=88-0478		latest	Complete Genome	Major	Full	2014/01/07	ASM51369v1	Public Health Agency of Canada	GCA_000513695.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/513/695/GCF_000513695.1_ASM51369v1		
GCF_000568475.1	PRJNA224116	SAMN02743815		na	1457187	1639	Listeria monocytogenes WSLC1001	strain=WSLC1001		latest	Complete Genome	Major	Full	2014/02/12	ASM56847v1	ETH Zurich	GCA_000568475.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/568/475/GCF_000568475.1_ASM56847v1		
GCF_000568935.1	PRJNA224116	SAMN02743817		na	1457188	1639	Listeria monocytogenes WSLC1042	strain=WSLC1042		latest	Complete Genome	Major	Full	2014/02/14	ASM56893v1	ETH Zurich	GCA_000568935.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/568/935/GCF_000568935.1_ASM56893v1		
GCF_000577745.1	PRJNA224116	SAMEA3138937		na	1288295	1639	Listeria monocytogenes 6179	strain=6179		latest	Complete Genome	Major	Full	2014/02/10	6179_18022011	VETMEDVIENNA	GCA_000577745.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/577/745/GCF_000577745.1_6179_18022011		
GCF_000582845.1	PRJNA224116	SAMEA3138952		na	1334565	1639	Listeria monocytogenes EGD	strain=EGD		latest	Complete Genome	Major	Full	2013/09/15	SV_1	IP	GCA_000582845.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/582/845/GCF_000582845.1_SV_1		
GCF_000585755.1	PRJNA224116	SAMN02412411	AZIU00000000.1	na	1425337	1639	Listeria monocytogenes Lm_1823	strain=Lm_1823		latest	Scaffold	Major	Full	2014/03/06	Lm1823	University of Milan	GCA_000585755.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/585/755/GCF_000585755.1_Lm1823		
GCF_000585775.1	PRJNA224116	SAMN02412412	AZIV00000000.1	na	1425338	1639	Listeria monocytogenes Lm_1824	strain=Lm_1824		latest	Scaffold	Major	Full	2014/03/06	Lm1824	University of Milan	GCA_000585775.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/585/775/GCF_000585775.1_Lm1824		
GCF_000585795.1	PRJNA224116	SAMN02412397	AZIW00000000.1	na	1425336	1639	Listeria monocytogenes Lm_1840	strain=Lm_1840		latest	Scaffold	Major	Full	2014/03/06	Lm1840	University of Milan	GCA_000585795.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/585/795/GCF_000585795.1_Lm1840		
GCF_000585815.1	PRJNA224116	SAMN02412413	AZIX00000000.1	na	1425339	1639	Listeria monocytogenes Lm_1886	strain=Lm_1886		latest	Scaffold	Major	Full	2014/03/06	Lm1886	University of Milan	GCA_000585815.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/585/815/GCF_000585815.1_Lm1886		
GCF_000585835.1	PRJNA224116	SAMN02412416	AZIY00000000.1	na	1425340	1639	Listeria monocytogenes Lm_1889	strain=Lm_1889		latest	Scaffold	Major	Full	2014/03/06	Lm1889	University of Milan	GCA_000585835.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/585/835/GCF_000585835.1_Lm1889		
GCF_000585855.1	PRJNA224116	SAMN02412345	AZIZ00000000.1	na	1425335	1639	Listeria monocytogenes Lm_1880	strain=Lm_1880		latest	Scaffold	Major	Full	2014/03/06	Lm1880	University of Milan	GCA_000585855.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/585/855/GCF_000585855.1_Lm1880		
GCF_000600015.1	PRJNA224116	SAMN02689320		na	1639	1639	Listeria monocytogenes	strain=NE dc2014		latest	Complete Genome	Major	Full	2014/03/25	ASM60001v1	Department of Forensic Sciences	GCA_000600015.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/600/015/GCF_000600015.1_ASM60001v1		
GCF_000613085.1	PRJNA224116	SAMEA3138991		na	1437838	1639	Listeria monocytogenes R479a	strain=R479a		latest	Complete Genome	Major	Full	2014/03/23	R479A_18022011	VETMEDVIENNA	GCA_000613085.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/613/085/GCF_000613085.1_R479A_18022011		
GCF_000613165.1	PRJNA224116	SAMEA3138995	CBVW000000000.1	na	1288294	1639	Listeria monocytogenes QOC2	strain=QOC2		latest	Contig	Major	Full	2014/03/10	QOC2_04122011	VETMEDVIENNA	GCA_000613165.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/613/165/GCF_000613165.1_QOC2_04122011		
GCF_000619785.1	PRJNA224116	SAMN02769638	JHUU00000000.1	na	1403328	1639	Listeria monocytogenes Lm19860	strain=Lm19860		latest	Scaffold	Major	Full	2014/04/08	ASM61978v1	DOE Joint Genome Institute	GCA_000619785.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/619/785/GCF_000619785.1_ASM61978v1		
GCF_000619865.1	PRJNA224116	SAMN02769642	JHUY00000000.1	na	1403327	1639	Listeria monocytogenes Lm26686	strain=Lm26686		latest	Scaffold	Major	Full	2014/04/08	ASM61986v1	DOE Joint Genome Institute	GCA_000619865.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/619/865/GCF_000619865.1_ASM61986v1		
GCF_000620885.1	PRJNA224116	SAMN02743960	JHZR00000000.1	na	1403329	1639	Listeria monocytogenes Lm25180	strain=Lm25180		latest	Scaffold	Major	Full	2014/04/08	ASM62088v1	DOE Joint Genome Institute	GCA_000620885.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/620/885/GCF_000620885.1_ASM62088v1		
GCF_000620905.1	PRJNA224116	SAMN02743963	JHZQ00000000.1	na	1403330	1639	Listeria monocytogenes Lm21045	strain=Lm21045		latest	Scaffold	Major	Full	2014/04/08	ASM62090v1	DOE Joint Genome Institute	GCA_000620905.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/620/905/GCF_000620905.1_ASM62090v1		
GCF_000626575.1	PRJNA224116	SAMN02742055	AXDU00000000.1	na	1234142	1639	Listeria monocytogenes N53-1	strain=N53-1		latest	Contig	Major	Full	2014/04/10	L. monocytogenes N53-1 (Illumina)	Technical University of Denmark	GCA_000626575.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/626/575/GCF_000626575.1_L._monocytogenes_N53-1_Illumina_		
