GenomeElements	VALUE
lmo0001	0.0
lmo0002	0.0
lmo0003	0.0
lmo0004	0.0
lmo0005	0.0
lmo0006	0.0
lmo0007	0.0
lmo0008	0.0
lmo0009	0.0
lmo0010	0.0
lmo0011	0.0
lmo0012	0.0
lmo0013	0.0
lmo0014	0.0
lmo0015	0.0
lmo0016	0.0
lmo0017	0.0
lmo0018	0.0
lmo0019	0.0
lmo0020	0.0
lmo0021	0.0
lmo0022	0.0
lmo0023	0.0
lmo0024	0.0
lmo0025	0.0
lmo0026	0.0
lmo0027	0.0
lmo0028	0.0
lmo0029	0.0
lmo0030	0.0
lmo0031	0.0
lmo0032	0.0
lmo0033	0.0
lmo0034	0.0
lmo0035	0.0
lmo0036	0.0
lmo0037	0.0
lmo0038	0.0
lmo0039	0.0
lmo0040	0.0
lmo0041	0.0
lmo0042	0.0
lmo0043	0.0
lmo0044	0.0
lmo0045	0.0
lmo0046	0.0
lmo0047	0.0
lmo0048	0.0
lmo0049	0.0
lmo0050	0.0
lmo0051	0.0
lmo0052	0.0
lmo0053	0.0
lmo0054	0.0
lmo0055	0.0
lmo0056	0.0
lmo0057	0.0
lmo0058	0.0
lmo0059	0.0
lmo0060	0.0
lmo0061	0.0
lmo0062	0.0
lmo0063	0.0
lmo0064	0.0
lmo0065	0.0
lmo0066	0.0
lmo0067	0.0
lmo0068	0.0
lmo0069	0.0
lmo0070	0.0
lmo0071	0.0
lmo0072	0.0
lmo0073	0.0
lmo0074	0.0
lmo0075	0.0
lmo0076	0.0
lmo0077	0.0
lmo0078	0.0
lmo0079	0.0
lmo0080	0.0
lmo0081	0.0
lmo0082	0.0
lmo0083	0.0
lmo0084	0.0
lmo0085	0.0
lmo0086	0.0
lmo0087	0.0
lmo0088	0.0
lmo0089	0.0
lmo0090	0.0
lmo0091	0.0
lmo0092	0.0
lmo0093	0.0
lmo0094	0.0
lmo0095	0.0
lmo0096	0.0
lmo0097	0.0
lmo0098	0.0
lmo0099	0.0
lmo0100	0.0
lmo0101	0.0
lmo0102	0.0
lmo0103	0.0
lmo0104	0.0
lmo0105	0.0
lmo0106	0.0
lmo0107	0.0
lmo0108	0.0
lmo0109	0.0
lmo0110	0.0
lmo0111	0.0
lmo0112	0.0
lmo0113	0.0
lmo0114	0.0
lmo0115	0.0
lmo0116	0.0
lmo0117	0.0
lmo0118	0.0
lmo0119	0.0
lmo0120	0.0
lmo0121	0.0
lmo0122	0.0
lmo0123	0.0
lmo0124	0.0
lmo0125	0.0
lmo0126	0.0
lmo0127	0.0
lmo0128	0.0
lmo0129	0.0
lmo0130	5.0
lmo0131	0.0
lmo0132	0.0
lmo0133	0.0
lmo0134	0.0
lmo0135	0.0
lmo0136	0.0
lmo0137	0.0
lmo0138	0.0
lmo0139	0.0
lmo0140	0.0
lmo0141	0.0
lmo0142	0.0
lmo0142a	-1.0
lmo0143	0.0
lmo0144	0.0
lmo0145	0.0
lmo0146	0.0
lmo0147	0.0
lmo0148	0.0
lmo0149	0.0
lmo0150	0.0
lmo0151	0.0
lmo0152	0.0
lmo0153	0.0
lmo0154	0.0
lmo0155	0.0
lmo0156	0.0
lmo0157	0.0
lmo0158	0.0
lmo0159	0.0
lmo0160	5.0
lmo0161	0.0
lmo0162	0.0
lmo0163	0.0
lmo0164	0.0
lmo0165	0.0
lmo0166	0.0
lmo0167	0.0
lmo0168	0.0
lmo0169	0.0
lmo0170	0.0
lmo0171	0.0
lmo0172	0.0
lmo0173	0.0
lmo0174	0.0
lmo0175	0.0
lmo0176	0.0
lmo0177	0.0
lmo0178	0.0
lmo0179	0.0
lmo0180	0.0
lmo0181	0.0
lmo0182	0.0
lmo0183	0.0
lmo0184	0.0
lmo0185	0.0
lmo0186	0.0
lmo0187	0.0
lmo01876	0.0
lmo0188	0.0
lmo0189	0.0
lmo0190	0.0
lmo0191	0.0
lmo0192	0.0
lmo0193	0.0
lmo0194	0.0
lmo0195	0.0
lmo0196	0.0
lmo0197	0.0
lmo0198	0.0
lmo0199	0.0
lmo0200	0.0
lmo0201	0.0
lmo0202	0.0
lmo0203	0.0
lmo0204	0.0
lmo0205	0.0
lmo0206	0.0
lmo0207	0.0
lmo0208	0.0
lmo0209	0.0
lmo0210	0.0
lmo0211	0.0
lmo0212	0.0
lmo0213	0.0
lmo0214	0.0
lmo0215	0.0
lmo0216	0.0
lmo0217	0.0
lmo0218	0.0
lmo0219	0.0
lmo0220	0.0
lmo0221	0.0
lmo0222	0.0
lmo0223	0.0
lmo0224	0.0
lmo0225	0.0
lmo0226	0.0
lmo0227	0.0
lmo0228	0.0
lmo0229	0.0
lmo0230	0.0
lmo0231	0.0
lmo0232	0.0
lmo0233	0.0
lmo02333	0.0
lmo0234	0.0
lmo0235	0.0
lmo0236	0.0
lmo0237	0.0
lmo0238	0.0
lmo0239	0.0
lmo0240	0.0
lmo0241	0.0
lmo0242	0.0
lmo0243	0.0
lmo0244	0.0
lmo0245	0.0
lmo0246	0.0
lmo0247	0.0
lmo0248	0.0
lmo0249	0.0
lmo0250	0.0
lmo0251	0.0
lmo0252	0.0
lmo0253	0.0
lmo0254	0.0
lmo0255	0.0
lmo0256	0.0
lmo0257	0.0
lmo0258	0.0
lmo0259	0.0
lmo0260	0.0
lmo0261	0.0
lmo0262	5.0
lmo0263	5.0
lmo0264	0.0
lmo0265	0.0
lmo0266	0.0
lmo0267	0.0
lmo0268	0.0
lmo0269	0.0
lmo0270	0.0
lmo0271	0.0
lmo0272	0.0
lmo0273	0.0
lmo0274	0.0
lmo0275	0.0
lmo0276	0.0
lmo0277	0.0
lmo0278	0.0
lmo0279	0.0
lmo0280	0.0
lmo0281	0.0
lmo0282	0.0
lmo0283	0.0
lmo0284	0.0
lmo0285	0.0
lmo0286	0.0
lmo0287	0.0
lmo0288	0.0
lmo0289	0.0
lmo0290	0.0
lmo0291	0.0
lmo0292	0.0
lmo0293	0.0
lmo0294	0.0
lmo0295	0.0
lmo0296	0.0
lmo0297	0.0
lmo0298	0.0
lmo0299	0.0
lmo0300	0.0
lmo0301	0.0
lmo0302	0.0
lmo0303	0.0
lmo0304	0.0
lmo0305	0.0
lmo0306	0.0
lmo0307	0.0
lmo0308	0.0
lmo0309	0.0
lmo0310	0.0
lmo0311	0.0
lmo0312	0.0
lmo0313	0.0
lmo0314	0.0
lmo0315	0.0
lmo0316	0.0
lmo0317	0.0
lmo0318	0.0
lmo0319	0.0
lmo0320	0.0
lmo0321	0.0
lmo0322	0.0
lmo0323	0.0
lmo0324	0.0
lmo0325	0.0
lmo0326	0.0
lmo0327	5.0
lmo0328	0.0
lmo0329	0.0
lmo0330	0.0
lmo0331	0.0
lmo0332	0.0
lmo0333	0.0
lmo0334	0.0
lmo0335	0.0
lmo0336	0.0
lmo0337	0.0
lmo0338	0.0
lmo0339	0.0
lmo0340	0.0
lmo0341	0.0
lmo0342	0.0
lmo0343	0.0
lmo0344	0.0
lmo0345	0.0
lmo0346	0.0
lmo0347	0.0
lmo0348	0.0
lmo0349	0.0
lmo0350	0.0
lmo0351	0.0
lmo0352	0.0
lmo0353	0.0
lmo0354	0.0
lmo0355	0.0
lmo0356	0.0
lmo0357	0.0
lmo0358	0.0
lmo0359	0.0
lmo0360	0.0
lmo0360a	-1.0
lmo0361	0.0
lmo0362	0.0
lmo0363	0.0
lmo0364	0.0
lmo0365	0.0
lmo0366	0.0
lmo0367	0.0
lmo0368	0.0
lmo0369	0.0
lmo0370	0.0
lmo0371	0.0
lmo0372	0.0
lmo0373	0.0
lmo0374	0.0
lmo0375	0.0
lmo0376	0.0
lmo0377	0.0
lmo0378	0.0
lmo0379	0.0
lmo0380	0.0
lmo0381	0.0
