GenomeElements	VALUE
lmo0382	0.0
lmo0383	0.0
lmo0384	0.0
lmo0385	0.0
lmo0386	0.0
lmo0387	0.0
lmo0388	0.0
lmo0389	0.0
lmo0390	0.0
lmo0391	0.0
lmo0392	0.0
lmo0393	0.0
lmo0394	0.0
lmo0395	0.0
lmo0396	0.0
lmo0397	0.0
lmo0398	0.0
lmo0399	0.0
lmo0400	0.0
lmo0401	0.0
lmo0402	0.0
lmo0403	0.0
lmo0404	0.0
lmo0405	0.0
lmo0406	0.0
lmo0407	0.0
lmo0408	0.0
lmo0409	0.0
lmo0410	0.0
lmo0411	0.0
lmo0412	0.0
lmo0413	0.0
lmo0414	0.0
lmo0415	0.0
lmo0416	0.0
lmo0417	0.0
lmo0418	0.0
lmo0419	0.0
lmo0420	0.0
lmo0421	0.0
lmo0422	0.0
lmo0423	0.0
lmo0424	0.0
lmo0425	0.0
lmo0426	0.0
lmo0427	0.0
lmo0428	0.0
lmo0429	0.0
lmo0430	0.0
lmo0431	0.0
lmo0432	0.0
lmo0433	5.0
lmo0434	0.0
lmo0435	0.0
lmo0436	0.0
lmo0437	0.0
lmo0438	0.0
lmo0439	0.0
lmo0440	0.0
lmo0441	0.0
lmo0442	0.0
lmo0443	0.0
lmo0444	0.0
lmo0445	0.0
lmo0446	0.0
lmo0447	0.0
lmo0448	0.0
lmo0448a	-1.0
lmo0449	0.0
lmo0450	0.0
lmo0451	0.0
lmo0452	0.0
lmo0453	0.0
lmo0454	0.0
lmo0455	0.0
lmo0456	0.0
lmo0457	0.0
lmo0458	0.0
lmo0459	0.0
lmo0460	0.0
lmo0461	0.0
lmo0462	0.0
lmo0463	0.0
lmo0464	0.0
lmo0464a	-1.0
lmo0465	0.0
lmo0466	0.0
lmo0467	0.0
lmo0468	0.0
lmo0469	0.0
lmo0470	0.0
lmo0471	0.0
lmo0472	0.0
lmo0473	0.0
lmo0474	0.0
lmo0475	0.0
lmo0476	0.0
lmo0477	0.0
lmo0478	0.0
lmo0479	0.0
lmo0480	0.0
lmo0481	0.0
lmo0482	0.0
lmo0483	0.0
lmo0484	0.0
lmo0485	0.0
lmo0486	0.0
lmo0487	0.0
lmo0488	0.0
lmo0489	0.0
lmo0490	0.0
lmo0491	0.0
lmo0492	0.0
lmo0493	0.0
lmo0494	0.0
lmo0495	0.0
lmo0496	0.0
lmo0497	0.0
lmo0498	0.0
lmo0499	0.0
lmo0500	0.0
lmo0501	0.0
lmo0502	0.0
lmo0503	0.0
lmo0504	0.0
lmo0505	0.0
lmo0506	0.0
lmo0507	0.0
lmo0508	0.0
lmo0509	0.0
lmo0510	0.0
lmo0511	0.0
lmo0512	0.0
lmo0513	0.0
lmo0514	0.0
lmo0515	0.0
lmo0516	0.0
lmo0517	0.0
lmo0518	0.0
lmo0519	0.0
lmo0520	0.0
lmo0521	0.0
lmo0522	0.0
lmo0523	0.0
lmo0524	0.0
lmo0525	0.0
lmo0526	0.0
lmo0527	0.0
lmo0528	0.0
lmo0529	0.0
lmo0530	0.0
lmo0531	0.0
lmo0532	0.0
lmo0533	0.0
lmo0534	0.0
lmo0535	0.0
lmo0536	0.0
lmo0537	0.0
lmo0538	0.0
lmo0539	0.0
lmo0540	0.0
lmo0541	0.0
lmo0542	0.0
lmo0543	0.0
lmo0544	0.0
lmo0545	0.0
lmo0546	0.0
lmo0547	0.0
lmo0548	0.0
lmo0549	0.0
lmo0550	0.0
lmo0551	0.0
lmo0552	0.0
lmo0553	0.0
lmo0554	0.0
lmo0555	0.0
lmo0556	0.0
lmo0557	0.0
lmo0558	0.0
lmo0559	0.0
lmo0560	0.0
lmo0561	0.0
lmo0562	0.0
lmo0563	0.0
lmo0564	0.0
lmo0565	0.0
lmo0566	0.0
lmo0567	0.0
lmo0568	0.0
lmo0569	0.0
lmo0570	0.0
lmo0571	0.0
lmo0572	0.0
lmo0573	0.0
lmo0574	0.0
lmo0575	0.0
lmo0576	0.0
lmo0577	0.0
lmo0578	0.0
lmo0579	0.0
lmo0580	0.0
lmo0581	0.0
lmo0582	5.0
lmo0583	0.0
lmo0584	0.0
lmo0585	0.0
lmo0586	0.0
lmo0587	0.0
lmo0588	0.0
lmo0589	0.0
lmo0590	0.0
lmo0591	0.0
lmo0592	0.0
lmo0593	0.0
lmo0594	0.0
lmo0595	0.0
lmo0596	0.0
lmo0597	0.0
lmo0597a	-1.0
lmo0599	0.0
lmo0600	0.0
lmo0601	0.0
lmo0602	0.0
lmo0603	0.0
lmo0604	0.0
lmo0605	0.0
lmo0606	0.0
lmo0607	0.0
lmo0608	0.0
lmo0609	0.0
lmo0610	5.0
lmo0611	0.0
lmo0612	0.0
lmo0613	0.0
lmo0614	0.0
lmo0615	0.0
lmo0616	0.0
lmo0617	0.0
lmo0618	0.0
lmo0619	0.0
lmo0620	0.0
lmo0621	0.0
lmo0622	0.0
lmo0623	0.0
lmo0624	0.0
lmo0625	0.0
lmo0626	0.0
lmo0627	0.0
lmo0628	0.0
lmo0629	0.0
lmo0630	0.0
lmo0631	0.0
lmo0632	0.0
lmo0633	0.0
lmo0634	0.0
lmo0635	0.0
lmo0636	0.0
lmo0637	0.0
lmo0638	0.0
lmo0639	0.0
lmo0640	0.0
lmo0641	0.0
lmo0642	0.0
lmo0643	0.0
lmo0644	0.0
lmo0645	0.0
lmo0646	0.0
lmo0647	0.0
lmo0648	0.0
lmo0649	0.0
lmo0650	0.0
lmo0651	0.0
lmo0652	0.0
lmo0653	0.0
lmo0654	0.0
lmo0655	0.0
lmo0656	0.0
lmo0657	0.0
lmo0658	0.0
lmo0659	0.0
lmo0660	0.0
lmo0661	0.0
lmo0662	0.0
lmo0663	0.0
lmo0664	0.0
lmo0665	0.0
lmo0666	0.0
lmo0667	0.0
lmo0668	0.0
lmo0669	0.0
lmo0670	0.0
lmo0671	0.0
lmo0672	0.0
lmo0673	0.0
lmo0674	0.0
lmo0675	0.0
lmo0676	0.0
lmo0677	0.0
lmo0678	0.0
lmo0679	0.0
lmo0680	0.0
lmo0681	0.0
lmo0682	0.0
lmo0683	0.0
lmo0684	0.0
lmo0685	0.0
lmo0686	0.0
lmo0687	0.0
lmo0688	0.0
lmo0689	0.0
lmo0690	0.0
lmo0691	0.0
lmo0692	0.0
lmo0693	0.0
lmo0694	0.0
lmo0695	0.0
lmo0696	0.0
lmo0697	0.0
lmo0698	0.0
lmo0699	0.0
lmo0700	0.0
lmo0701	0.0
lmo0702	0.0
lmo0703	0.0
lmo0704	0.0
lmo0705	0.0
lmo0706	0.0
lmo0707	0.0
lmo0708	0.0
lmo0709	0.0
lmo0710	0.0
lmo0711	0.0
lmo0712	0.0
lmo0713	0.0
lmo0714	0.0
lmo0715	0.0
lmo0716	0.0
lmo0717	0.0
lmo0718	0.0
lmo0719	0.0
lmo0720	0.0
lmo0721	0.0
lmo0722	0.0
lmo0723	0.0
lmo0724	0.0
lmo0725	0.0
lmo0726	0.0
lmo0727	0.0
lmo0728	0.0
lmo0729	0.0
lmo0730	0.0
lmo0731	0.0
lmo0732	0.0
lmo0733	0.0
lmo0734	0.0
lmo0735	0.0
lmo0736	0.0
lmo0737	0.0
lmo0738	0.0
lmo0739	0.0
lmo0740	0.0
lmo0741	0.0
lmo0742	0.0
lmo0743	0.0
lmo0744	0.0
lmo0745	0.0
lmo0746	0.0
lmo0747	0.0
lmo0748	0.0
lmo0749	0.0
lmo0750	0.0
lmo0751	0.0
lmo0752	0.0
lmo0753	0.0
lmo0754	0.0
lmo0755	0.0
lmo0756	0.0
lmo0757	0.0
lmo0758	0.0
lmo0759	0.0
lmo0760	0.0
lmo0761	0.0
lmo0762	0.0
lmo0763	0.0
lmo0764	0.0
lmo0765	0.0
lmo0766	0.0
lmo0767	0.0
lmo0768	0.0
lmo0769	0.0
lmo0770	0.0
lmo0771	0.0
lmo0772	0.0
lmo0773	0.0
lmo0774	0.0
lmo0775	0.0
lmo0776	0.0
lmo0777	0.0
lmo0778	0.0
lmo0779	0.0
lmo0780	0.0
lmo0781	0.0
lmo0782	0.0
lmo0783	0.0
lmo0784	0.0
lmo0785	0.0
lmo0786	0.0
lmo0787	0.0
lmo0788	0.0
lmo0789	0.0
lmo0790	0.0
lmo0791	0.0
lmo0792	0.0
lmo0793	0.0
lmo0794	0.0
lmo0795	0.0
lmo0796	0.0
lmo0797	0.0
lmo0798	0.0
lmo0799	0.0
lmo0800	0.0
lmo0801	0.0
lmo0802	0.0
lmo0803	0.0
lmo0804	0.0
lmo0805	0.0
lmo0806	0.0
lmo0807	0.0
lmo0808	0.0
lmo0809	0.0
lmo0810	0.0
lmo0811	0.0
lmo0812	0.0
lmo0813	0.0
lmo0814	0.0
lmo0815	0.0
lmo0816	0.0
lmo0817	0.0
lmo0818	0.0
lmo0819	0.0
lmo0820	0.0
lmo0821	0.0
lmo0822	0.0
lmo0823	0.0
lmo0824	0.0
lmo0825	0.0
lmo0826	0.0
lmo0827	0.0
lmo0828	0.0
lmo0829	0.0
lmo0830	0.0
lmo0831	0.0
lmo0832	0.0
lmo0833	0.0
lmo0834	0.0
lmo0835	0.0
lmo0836	0.0
lmo0837	0.0
lmo0838	0.0
lmo0839	0.0
lmo0840	0.0
lmo0841	0.0
lmo0842	5.0
lmo0843	0.0
lmo0844	0.0
lmo0845	0.0
lmo0846	0.0
lmo0847	0.0
lmo0848	0.0
lmo0849	0.0
lmo0850	0.0
lmo0851	0.0
lmo0852	0.0
lmo0853	0.0
lmo0854	0.0
lmo0855	0.0
lmo0856	0.0
lmo0857	0.0
lmo0858	0.0
lmo0859	0.0
lmo0860	0.0
lmo0861	0.0
lmo0862	0.0
lmo0863	0.0
lmo0864	0.0
lmo0865	0.0
lmo0866	0.0
lmo0866a	-1.0
lmo0867	0.0
lmo0868	0.0
lmo0869	0.0
lmo0870	0.0
lmo0871	0.0
lmo0872	0.0
lmo0873	0.0
lmo0874	0.0
lmo0875	0.0
lmo0876	0.0
lmo0877	0.0
lmo0878	0.0
lmo0879	0.0
lmo0880	5.0
lmo0881	0.0
lmo0882	0.0
lmo0883	0.0
lmo0884	0.0
lmo0885	0.0
lmo0886	0.0
lmo0887	0.0
lmo0888	0.0
lmo0889	0.0
lmo0890	0.0
lmo0891	0.0
lmo0892	0.0
lmo0893	0.0
lmo0894	0.0
lmo0895	0.0
lmo0896	0.0
lmo0897	0.0
lmo0898	0.0
lmo0899	0.0
lmo0900	0.0
lmo0901	0.0
lmo0902	0.0
lmo0903	0.0
lmo0904	0.0
lmo0905	0.0
lmo0906	0.0
lmo0907	0.0
lmo0908	0.0
lmo0909	0.0
lmo0910	0.0
lmo0911	0.0
lmo0912	0.0
lmo0913	0.0
lmo0914	0.0
lmo0915	0.0
lmo0916	0.0
lmo0917	0.0
lmo0918	0.0
lmo0919	0.0
lmo0920	0.0
lmo0921	0.0
lmo0922	0.0
lmo0923	0.0
lmo0924	0.0
lmo0925	0.0
lmo0926	0.0
lmo0927	0.0
lmo0928	0.0
lmo0929	0.0
lmo0930	0.0
lmo0931	0.0
lmo0932	0.0
lmo0933	0.0
lmo0934	0.0
lmo0935	0.0
lmo0936	0.0
lmo0937	0.0
lmo0938	0.0
lmo0939	0.0
lmo0940	0.0
lmo0941	0.0
lmo0942	0.0
lmo0943	0.0
lmo0944	0.0
lmo0945	0.0
lmo0946	0.0
lmo0947	0.0
lmo0948	0.0
lmo0949	0.0
lmo0950	0.0
lmo0951	0.0
lmo0952	0.0
lmo0953	0.0
lmo0954	0.0
lmo0955	0.0
lmo0956	0.0
lmo0957	0.0
lmo0958	0.0
lmo0959	0.0
lmo0960	0.0
lmo0961	0.0
lmo0962	0.0
lmo0963	0.0
lmo0964	0.0
lmo0965	0.0
lmo0966	0.0
lmo0967	0.0
lmo0968	0.0
lmo0969	0.0
lmo0970	0.0
lmo0971	0.0
lmo0972	0.0
lmo0973	0.0
lmo0974	0.0
lmo0975	0.0
lmo0976	0.0
lmo0977	0.0
lmo0978	0.0
lmo0979	0.0
lmo0980	0.0
lmo0981	0.0
lmo0982	0.0
lmo0983	0.0
lmo0984	0.0
lmo0985	0.0
lmo0986	0.0
lmo0987	0.0
lmo0988	0.0
lmo0989	0.0
lmo0990	0.0
lmo0991	0.0
lmo0992	0.0
lmo0993	0.0
lmo0994	0.0
lmo0995	0.0
lmo0996	0.0
lmo0997	0.0
lmo0998	0.0
lmo0999	0.0
lmo1000	0.0
lmo1001	0.0
lmo1002	0.0
lmo1003	0.0
lmo1004	0.0
lmo1005	0.0
lmo1006	0.0
lmo1007	0.0
lmo1008	0.0
lmo1009	0.0
lmo1010	0.0
lmo1011	0.0
lmo1012	0.0
lmo1013	0.0
lmo1014	0.0
lmo1015	0.0
lmo1016	0.0
lmo1017	0.0
lmo1018	0.0
lmo1019	0.0
lmo1020	0.0
lmo1021	0.0
lmo1022	0.0
lmo1023	0.0
lmo1024	0.0
lmo1025	0.0
lmo1026	0.0
lmo1027	0.0
lmo1028	0.0
lmo1029	0.0
lmo1030	0.0
lmo1031	0.0
lmo1032	0.0
lmo1033	0.0
lmo1034	0.0
lmo1035	0.0
lmo1036	0.0
lmo1037	0.0
lmo1038	0.0
lmo1039	0.0
lmo1040	0.0
lmo1041	0.0
lmo1042	0.0
lmo1043	0.0
lmo1044	0.0
lmo1045	0.0
lmo1046	0.0
lmo1047	0.0
lmo1048	0.0
lmo1049	0.0
lmo1050	0.0
lmo1051	0.0
lmo1052	0.0
lmo1053	0.0
lmo1054	0.0
lmo1055	0.0
lmo1056	0.0
lmo1057	0.0
lmo1058	0.0
lmo1059	0.0
lmo1060	0.0
lmo1061	0.0
lmo1062	0.0
lmo1063	0.0
lmo1064	0.0
lmo1065	0.0
lmo1066	0.0
lmo1067	0.0
lmo1068	0.0
lmo1069	0.0
lmo1070	0.0
lmo1071	0.0
lmo1072	0.0
lmo1073	0.0
lmo1074	0.0
lmo1075	0.0
lmo1076	0.0
lmo1077	0.0
lmo1078	0.0
lmo1079	0.0
lmo1080	0.0
lmo1081	0.0
lmo1082	0.0
lmo1083	0.0
lmo1084	0.0
lmo1085	0.0
lmo1086	0.0
lmo1087	0.0
lmo1088	0.0
lmo1089	0.0
lmo1090	0.0
lmo1091	0.0
lmo1092	0.0
lmo1093	0.0
lmo1094	0.0
lmo1095	0.0
lmo1096	0.0
lmo1097	0.0
lmo1097a	-1.0
lmo1098	0.0
lmo1099	0.0
lmo1100	0.0
lmo1101	0.0
lmo1102	0.0
lmo1103	0.0
lmo1104	0.0
lmo1105	0.0
lmo1106	0.0
lmo1107	0.0
lmo1108	0.0
lmo1109	0.0
lmo1110	0.0
lmo1111	0.0
lmo1112	0.0
lmo1113	0.0
lmo1114	0.0
lmo1115	0.0
lmo1116	0.0
lmo1117	0.0
lmo1118	0.0
lmo1119	0.0
lmo1120	0.0
lmo1121	0.0
lmo1122	0.0
lmo1123	0.0
lmo1124	0.0
lmo1125	0.0
lmo1126	0.0
lmo1127	0.0
lmo1128	0.0
lmo1129	0.0
lmo1130	0.0
lmo1131	0.0
lmo1132	0.0
lmo1133	0.0
lmo1134	0.0
lmo1135	0.0
lmo1136	0.0
lmo1137	0.0
lmo1138	0.0
lmo1139	0.0
lmo1140	0.0
lmo1141	0.0
lmo1142	0.0
lmo1143	0.0
lmo1144	0.0
lmo1145	0.0
lmo1146	0.0
lmo1147	0.0
lmo1148	0.0
lmo1149	0.0
lmo1150	0.0
lmo1151	0.0
lmo1152	0.0
lmo1153	0.0
lmo1154	0.0
lmo1155	0.0
lmo1156	0.0
lmo1157	0.0
lmo1158	0.0
lmo1159	0.0
lmo1160	0.0
lmo1161	0.0
lmo1162	0.0
lmo1163	0.0
lmo1164	0.0
lmo1165	0.0
lmo1166	0.0
lmo1167	0.0
lmo1168	0.0
lmo1169	0.0
lmo1170	0.0
lmo1171	0.0
lmo1172	0.0
lmo1173	0.0
lmo1174	0.0
lmo1175	0.0
lmo1176	0.0
lmo1177	0.0
lmo1178	0.0
lmo1179	0.0
lmo1180	0.0
lmo1181	0.0
lmo1182	0.0
lmo1183	0.0
lmo1184	0.0
lmo1185	0.0
lmo1186	0.0
lmo1187	0.0
lmo1188	0.0
lmo1189	0.0
lmo1190	0.0
lmo1191	0.0
lmo1192	0.0
lmo1193	0.0
lmo1194	0.0
lmo1195	0.0
lmo1196	0.0
lmo1197	0.0
lmo1198	0.0
lmo1199	0.0
lmo1200	0.0
lmo1201	0.0
lmo1202	0.0
lmo1203	0.0
lmo1204	0.0
lmo1205	0.0
lmo1206	0.0
lmo1207	0.0
lmo1208	0.0
lmo1209	0.0
lmo1210	0.0
lmo1211	0.0
lmo1212	0.0
lmo1213	0.0
lmo1214	0.0
lmo1215	0.0
lmo1216	0.0
lmo1217	0.0
lmo1218	0.0
lmo1219	0.0
lmo1220	0.0
lmo1221	0.0
lmo1222	0.0
lmo1223	0.0
lmo1224	0.0
lmo1225	0.0
lmo1226	0.0
lmo1227	0.0
lmo1228	0.0
lmo1229	0.0
lmo1230	0.0
lmo1231	0.0
lmo1232	0.0
lmo1233	0.0
lmo1234	0.0
lmo1235	0.0
lmo1236	0.0
lmo1237	0.0
lmo1238	0.0
lmo1239	0.0
lmo1240	0.0
lmo1241	0.0
lmo1242	0.0
lmo1243	0.0
lmo1244	0.0
lmo1245	0.0
lmo1246	0.0
lmo1247	0.0
lmo1248	0.0
lmo1249	0.0
lmo1250	0.0
lmo1251	0.0
lmo1252	0.0
lmo1253	0.0
lmo1254	0.0
lmo1255	0.0
lmo1256	0.0
lmo1257	0.0
lmo1258	0.0
lmo1259	0.0
lmo1260	0.0
lmo1261	0.0
lmo1262	0.0
lmo1263	0.0
lmo1264	0.0
lmo1265	0.0
lmo1266	0.0
lmo1267	0.0
lmo1268	0.0
lmo1269	0.0
lmo1270	0.0
lmo1271	0.0
lmo1272	0.0
lmo1273	0.0
lmo1274	0.0
lmo1275	0.0
lmo1276	0.0
lmo1277	0.0
lmo1278	0.0
lmo1279	0.0
lmo1280	0.0
lmo1281	0.0
lmo1282	0.0
lmo1283	0.0
lmo1284	0.0
lmo1285	0.0
lmo1286	0.0
lmo1287	0.0
lmo1288	0.0
lmo1289	0.0
lmo1290	0.0
lmo1291	0.0
lmo1292	0.0
lmo1293	0.0
lmo1294	0.0
lmo1295	0.0
lmo1296	0.0
lmo1297	0.0
lmo1298	0.0
lmo1299	0.0
lmo1300	0.0
lmo1301	0.0
lmo1302	0.0
lmo1303	0.0
lmo1304	0.0
lmo1305	0.0
lmo1306	0.0
lmo1307	0.0
lmo1308	0.0
lmo1309	0.0
lmo1310	0.0
lmo1311	0.0
lmo1312	0.0
lmo1313	0.0
lmo1314	0.0
lmo1315	0.0
lmo1316	0.0
lmo1317	0.0
lmo1318	0.0
lmo1319	0.0
lmo1320	0.0
lmo1321	0.0
lmo1322	0.0
lmo1323	0.0
lmo1324	0.0
lmo1325	0.0
lmo1326	0.0
lmo1327	0.0
lmo1328	0.0
lmo1329	0.0
lmo1330	0.0
lmo1331	0.0
lmo1332	0.0
lmo1333	0.0
lmo1333a	-1.0
lmo1334	0.0
lmo1335	0.0
lmo1336	0.0
lmo1337	0.0
lmo1338	0.0
lmo1339	0.0
lmo1340	0.0
lmo1341	0.0
lmo1342	0.0
lmo1343	0.0
lmo1344	0.0
lmo1345	0.0
lmo1346	0.0
lmo1347	0.0
lmo1348	0.0
lmo1349	0.0
lmo1350	0.0
lmo1351	0.0
lmo1352	0.0
lmo1353	0.0
lmo1354	0.0
lmo1355	0.0
lmo1356	0.0
lmo1357	0.0
lmo1358	0.0
lmo1359	0.0
lmo1360	0.0
lmo1361	0.0
lmo1362	0.0
lmo1363	0.0
lmo1364	0.0
lmo1365	0.0
lmo1366	0.0
lmo1367	0.0
lmo1368	0.0
lmo1369	0.0
lmo1370	0.0
lmo1371	0.0
lmo1372	0.0
lmo1373	0.0
lmo1374	0.0
lmo1375	0.0
lmo1376	0.0
lmo1377	0.0
lmo1378	0.0
lmo1379	0.0
lmo1380	0.0
lmo1381	0.0
lmo1382	0.0
lmo1383	0.0
lmo1384	0.0
lmo1385	0.0
lmo1386	0.0
