GenomeElements	RAWVALUE	VALUE
lmo0223	108.0	6.754887502
lmo0224	0.0	0.0
lmo0225	0.0	0.0
lmo0226	1.0	1.0
lmo0227	0.0	0.0
lmo0228	4.0	2.0
lmo0229	0.0	0.0
lmo0230	0.0	0.0
lmo0231	0.0	0.0
lmo0232	0.0	0.0
lmo0233	0.0	0.0
lmo02333	0.0	0.0
lmo0234	3.0	1.584962501
lmo0235	16.0	4.0
lmo0236	0.0	0.0
lmo0237	1.0	1.0
lmo0238	2.0	1.0
lmo0239	2.0	1.0
lmo0240	1.0	1.0
lmo0241	0.0	0.0
lmo0242	0.0	0.0
lmo0243	1.0	1.0
lmo0244	0.0	0.0
lmo0245	0.0	0.0
lmo0246	18.0	4.169925001
lmo0247	0.0	0.0
lmo0248	45.0	5.491853096
lmo0249	1.0	1.0
lmo0250	7.0	2.807354922
lmo0251	26.0	4.700439718
lmo0252	0.0	0.0
lmo0253	3.0	1.584962501
lmo0254	0.0	0.0
lmo0255	2.0	1.0
lmo0256	0.0	0.0
lmo0257	0.0	0.0
lmo0258	4.0	2.0
lmo0259	9.0	3.169925001
lmo0260	0.0	0.0
lmo0261	1.0	1.0
lmo0262	0.0	0.0
lmo0263	1.0	1.0
lmo0264	1.0	1.0
lmo0265	0.0	0.0
lmo0266	0.0	0.0
lmo0267	0.0	0.0
lmo0268	0.0	0.0
lmo0269	0.0	0.0
lmo0270	2.0	1.0
lmo0271	0.0	0.0
lmo0272	0.0	0.0
lmo0273	0.0	0.0
lmo0274	0.0	0.0
lmo0275	0.0	0.0
lmo0276	1.0	1.0
lmo0277	0.0	0.0
lmo0278	2.0	1.0
lmo0279	0.0	0.0
lmo0280	0.0	0.0
lmo0281	0.0	0.0
lmo0282	1.0	1.0
lmo0283	0.0	0.0
lmo0284	0.0	0.0
lmo0285	10.0	3.321928095
lmo0286	1.0	1.0
lmo0287	0.0	0.0
lmo0288	0.0	0.0
lmo0289	0.0	0.0
lmo0290	0.0	0.0
lmo0291	0.0	0.0
lmo0292	0.0	0.0
lmo0293	0.0	0.0
lmo0294	0.0	0.0
lmo0295	0.0	0.0
lmo0296	0.0	0.0
lmo0297	0.0	0.0
lmo0298	0.0	0.0
lmo0299	0.0	0.0
lmo0300	1.0	1.0
lmo0301	1.0	1.0
lmo0302	0.0	0.0
lmo0303	0.0	0.0
lmo0304	0.0	0.0
lmo0305	1.0	1.0
lmo0306	0.0	0.0
lmo0307	5.0	2.321928095
lmo0308	0.0	0.0
lmo0309	5.0	2.321928095
lmo0310	2.0	1.0
lmo0311	4.0	2.0
lmo0312	4.0	2.0
lmo0313	0.0	0.0
lmo0314	1.0	1.0
lmo0315	0.0	0.0
lmo0316	1.0	1.0
